subj_idx,condition,rt,response,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
sub-01,0.0,0.5571792,a,-0.5689052631942613,-1.3262048288234236,-0.48001012696970236,1st,1st,2nd,-1.2173270472488604,-1.2252484378686597,-0.3541625502603923
sub-01,1.0,0.5215154,a,-1.6000298594444304,-0.6337106337634943,-0.5753818262982653,1st,2nd,2nd,-1.2173270472488604,-0.31504395298232785,-0.3541625502603923
sub-01,0.0,0.4338575,a,-0.767878445524824,0.37677375184402057,-0.7739622039178353,1st,3rd,1st,-1.2173270472488604,0.31602103313706364,-1.2514695098458462
sub-01,0.0,0.4938656,a,-0.00011758075242486335,-0.3697360806383118,-1.1907358861792818,2nd,2nd,1st,-0.2243768488424223,-0.31504395298232785,-1.2514695098458462
sub-01,0.0,0.351543,a,0.11729706700289803,-0.24271163813022695,-1.1438756106841266,3rd,2nd,1st,0.28416410358553096,-0.31504395298232785,-1.2514695098458462
sub-01,1.0,0.4805452,f,-2.796858225642746,-0.7217495788368283,-1.3285948266278953,1st,1st,1st,-1.2173270472488604,-1.2252484378686597,-1.2514695098458462
sub-01,0.0,0.4088824,f,0.13051772534593567,-1.7697162427309787,-1.0921924749362004,3rd,1st,1st,0.28416410358553096,-1.2252484378686597,-1.2514695098458462
sub-01,0.0,0.4709135,a,-1.6400757669189034,-0.2299891909700445,-1.0196075549089858,1st,2nd,1st,-1.2173270472488604,-0.31504395298232785,-1.2514695098458462
sub-01,0.0,0.4519875,a,-1.5405476927313984,-0.6552254090767343,-1.0278066691943912,1st,1st,1st,-1.2173270472488604,-1.2252484378686597,-1.2514695098458462
sub-01,1.0,0.335645,f,-0.8905907797607236,-1.4503208978155966,-0.7332438350230713,1st,1st,1st,-1.2173270472488604,-1.2252484378686597,-1.2514695098458462
sub-01,0.0,0.7239706,f,0.3897912731804839,-1.05834344150857,-0.6262263997155421,3rd,1st,2nd,0.28416410358553096,-1.2252484378686597,-0.3541625502603923
sub-01,0.0,0.5183765,f,-0.6862584273411352,-0.5271871218705938,-0.6978672393363736,1st,2nd,1st,-1.2173270472488604,-0.31504395298232785,-1.2514695098458462
sub-01,0.0,0.5973658,f,-1.5504572166775783,-0.22118078995880192,-0.6978461162701902,1st,2nd,1st,-1.2173270472488604,-0.31504395298232785,-1.2514695098458462
sub-01,0.0,0.5260495,a,-0.6802463924821376,0.6707245584833638,-0.5750345165307938,1st,4th,2nd,-1.2173270472488604,1.2242713577139248,-0.3541625502603923
sub-01,1.0,0.3530519,a,-2.6390585892943266,0.04063671099816661,-0.596544141740315,1st,3rd,2nd,-1.2173270472488604,0.31602103313706364,-0.3541625502603923
sub-01,0.0,0.5883847,a,-0.7849576496574149,-0.41680381820237355,-0.7205678322384212,1st,2nd,1st,-1.2173270472488604,-0.31504395298232785,-1.2514695098458462
sub-01,0.0,0.5934242,f,-1.088959018481258,0.5981718122714402,-0.6746652461978112,1st,3rd,2nd,-1.2173270472488604,0.31602103313706364,-0.3541625502603923
sub-01,1.0,0.5318373,f,-4.184839152304455,0.5873643410461716,-0.8287502243899754,1st,3rd,1st,-1.2173270472488604,0.31602103313706364,-1.2514695098458462
