mode,type,rt,acc,item_1,item_2,item_cue,subj_idx,item_1_number,item_2_number,item_cue_number,trial_type,similarity,similarity_bin,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
perc,resp,2616,0,1.2.2left.bmp,1.3.3right.bmp,,ACC018,"[-2, 0, 0]","[-2, 2, 2]",[],non-match,0.5917517095361369,3,-0.44504748124112,-1.1320499282714132,1.0785094581651964,2nd,1st,4th,-0.19313575099557567,-1.2524243151822978,1.2546623055427037
perc,resp,2122,0,2.3.1left.bmp,2.3.1right.bmp,,ACC018,"[0, 2, -2]","[0, 2, -2]",[],match,1.0,,0.3720429837977928,-0.6838195248084846,1.0434427206116546,3rd,1st,4th,0.3409615243403279,-1.2524243151822978,1.2546623055427037
perc,resp,2614,1,1.1.2left.bmp,1.1.2right.bmp,,ACC018,"[-2, -2, 0]","[-2, -2, 0]",[],match,1.0,,-0.9204033262925164,-0.9297632500019657,1.1090276463777746,1st,1st,4th,-1.2871701544289296,-1.2524243151822978,1.2546623055427037
perc,resp,2011,1,1.2.1left.bmp,1.2.1right.bmp,,ACC018,"[-2, 0, -2]","[-2, 0, -2]",[],match,1.0,,-0.7186391106460712,-0.7999867260001694,0.9850038366618981,1st,1st,4th,-1.2871701544289296,-1.2524243151822978,1.2546623055427037
perc,resp,1824,1,3.3.2left.bmp,3.3.2right.bmp,,ACC018,"[2, 2, 0]","[2, 2, 0]",[],match,1.0,,-0.047971558471852166,-1.1746415210974954,1.008313434448367,2nd,1st,4th,-0.19313575099557567,-1.2524243151822978,1.2546623055427037
perc,resp,1608,1,1.2.3left.bmp,1.2.3right.bmp,,ACC018,"[-2, 0, 2]","[-2, 0, 2]",[],match,1.0,,-0.04802676008918104,-0.8006765132457847,1.2297414682120276,2nd,1st,4th,-0.19313575099557567,-1.2524243151822978,1.2546623055427037
perc,resp,1609,1,2.1.1left.bmp,2.1.1right.bmp,,ACC018,"[0, -2, -2]","[0, -2, -2]",[],match,1.0,,-0.4541583437576296,-1.6430977941457736,1.24979912840735,2nd,1st,4th,-0.19313575099557567,-1.2524243151822978,1.2546623055427037
perc,resp,1321,1,2.1.2left.bmp,2.1.2right.bmp,,ACC018,"[0, -2, 0]","[0, -2, 0]",[],match,1.0,,-0.16842936622220822,0.9278639814276659,1.4232429642918984,2nd,4th,4th,-0.19313575099557567,1.210983776994628,1.2546623055427037
perc,resp,1431,0,2.2.2left.bmp,1.2.2right.bmp,,ACC018,"[0, 0, 0]","[-2, 0, 0]",[],non-match,0.7113248654051871,4,-1.1724033821731745,0.7285926764166103,1.397857093908978,1st,4th,4th,-1.2871701544289296,1.210983776994628,1.2546623055427037
perc,resp,1636,0,2.2.1left.bmp,3.2.3right.bmp,,ACC018,"[0, 0, -2]","[2, 0, 2]",[],non-match,0.3545027756320971,2,-0.8836333010482529,-0.9681340503346407,1.561196747146321,1st,1st,4th,-1.2871701544289296,-1.2524243151822978,1.2546623055427037
perc,resp,1443,1,3.3.1left.bmp,1.2.3right.bmp,,ACC018,"[2, 2, -2]","[-2, 0, 2]",[],non-match,0.1339745962155613,1,0.3669798215448182,-0.22859869574873123,1.3312888271690018,3rd,2nd,4th,0.3409615243403279,-0.22318599358597754,1.2546623055427037
perc,resp,2775,1,1.3.3left.bmp,2.2.2right.bmp,,ACC018,"[-2, 2, 2]","[0, 0, 0]",[],non-match,0.5,3,-1.4108716804873833,-1.342749511408327,1.6997572824826743,1st,1st,4th,-1.2871701544289296,-1.2524243151822978,1.2546623055427037
perc,resp,2837,0,1.3.1left.bmp,1.1.2right.bmp,,ACC018,"[-2, 2, -2]","[-2, -2, 0]",[],non-match,0.3545027756320971,2,-2.666325663256438,-2.891229422829805,1.5520710362869823,1st,1st,4th,-1.2871701544289296,-1.2524243151822978,1.2546623055427037
perc,resp,2266,1,3.1.3left.bmp,1.2.2right.bmp,,ACC018,"[2, -2, 2]","[-2, 0, 0]",[],non-match,0.29289321881345254,1,-0.4511952483913626,-1.117181959150661,1.6756585282305763,2nd,1st,4th,-0.19313575099557567,-1.2524243151822978,1.2546623055427037
perc,resp,2484,1,1.1.1left.bmp,1.1.1right.bmp,,ACC018,"[-2, -2, -2]","[-2, -2, -2]",[],match,1.0,,-1.3180036773098356,-1.247584803265034,1.8638819518704075,1st,1st,4th,-1.2871701544289296,-1.2524243151822978,1.2546623055427037
perc,resp,1519,1,3.2.3left.bmp,1.3.2right.bmp,,ACC018,"[2, 0, 2]","[-2, 2, 0]",[],non-match,0.29289321881345254,1,-0.7523643226110787,-1.3861147830177298,1.8685231490034788,1st,1st,4th,-1.2871701544289296,-1.2524243151822978,1.2546623055427037
perc,resp,2932,1,3.3.3left.bmp,2.1.3right.bmp,,ACC018,"[2, 2, 2]","[0, -2, 2]",[],non-match,0.3545027756320971,2,-2.6845290556234547,-1.5829367564931986,1.9805837744182193,1st,1st,4th,-1.2871701544289296,-1.2524243151822978,1.2546623055427037
perc,resp,1635,1,1.1.3left.bmp,3.3.2right.bmp,,ACC018,"[-2, -2, 2]","[2, 2, 0]",[],non-match,0.1339745962155613,1,-0.9031373398015159,-1.514168833859678,2.0737251844242155,1st,1st,4th,-1.2871701544289296,-1.2524243151822978,1.2546623055427037
perc,resp,1820,0,3.2.1left.bmp,3.3.1right.bmp,,ACC018,"[2, 0, -2]","[2, 2, -2]",[],non-match,0.7113248654051871,4,-1.1405183012962108,-0.7158483445477973,1.9504862137239785,1st,1st,4th,-1.2871701544289296,-1.2524243151822978,1.2546623055427037
perc,resp,2250,0,1.3.2left.bmp,1.3.2right.bmp,,ACC018,"[-2, 2, 0]","[-2, 2, 0]",[],match,1.0,,-1.1518966755412001,-0.978955573224454,1.748780615015407,1st,1st,4th,-1.2871701544289296,-1.2524243151822978,1.2546623055427037
perc,resp,2360,1,3.1.2left.bmp,3.1.2right.bmp,,ACC018,"[2, -2, 0]","[2, -2, 0]",[],match,1.0,,-0.03641508979885079,-0.516204704682361,1.9230816380005733,2nd,2nd,4th,-0.19313575099557567,-0.22318599358597754,1.2546623055427037
perc,resp,1482,1,3.2.2left.bmp,1.3.1right.bmp,,ACC018,"[2, 0, 0]","[-2, 2, -2]",[],non-match,0.29289321881345254,1,0.2504844552493977,0.25714998347434326,2.00482763431994,3rd,3rd,4th,0.3409615243403279,0.2646265317736461,1.2546623055427037
