mode,type,rt,acc,item_1,item_2,item_cue,subj_idx,item_1_number,item_2_number,item_cue_number,trial_type,similarity,similarity_bin,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
perc,resp,2122,1,1.1.2left.bmp,1.1.2right.bmp,,ACC023,"[-2, -2, 0]","[-2, -2, 0]",[],match,1.0,,2.0808928354528393,0.6321845867341513,-0.9953971031604221,4th,3rd,1st,1.3292176044341308,0.3241798519266453,-1.2264507735098988
perc,resp,1888,1,2.1.3left.bmp,2.3.3right.bmp,,ACC023,"[0, -2, 2]","[0, 2, 2]",[],non-match,0.42264973081037416,2,0.5780773206030069,-1.4416423358350985,-0.849935599280154,3rd,1st,1st,0.24956604421478282,-1.2197961505327855,-1.2264507735098988
perc,resp,1218,1,2.2.3left.bmp,3.1.3right.bmp,,ACC023,"[0, 0, 2]","[2, -2, 2]",[],non-match,0.5917517095361369,3,-0.028463597501985863,-0.0005229574153167903,-0.9076506087891785,3rd,2nd,1st,0.24956604421478282,-0.32002527274998077,-1.2264507735098988
perc,resp,1591,1,2.2.2left.bmp,2.2.2right.bmp,,ACC023,"[0, 0, 0]","[0, 0, 0]",[],match,1.0,,-0.09732628269914956,1.1333758697692424,-0.7328092162714711,2nd,4th,1st,-0.32112137634538424,1.234407665979702,-1.2264507735098988
perc,resp,1070,1,3.3.1left.bmp,1.1.2right.bmp,,ACC023,"[2, 2, -2]","[-2, -2, 0]",[],non-match,0.1339745962155613,1,0.7970794124594791,1.1915493571283926,-0.3652532939839148,4th,4th,2nd,1.3292176044341308,1.234407665979702,-0.37159670311919124
perc,resp,1439,1,3.2.1left.bmp,3.2.1right.bmp,,ACC023,"[2, 0, -2]","[2, 0, -2]",[],match,1.0,,-0.9989000698300835,-0.6526764733986256,0.07464390653268947,1st,2nd,3rd,-1.2386067833292336,-0.32002527274998077,0.26312126230420596
perc,resp,1541,1,2.3.2left.bmp,2.1.1right.bmp,,ACC023,"[0, 2, 0]","[0, -2, -2]",[],non-match,0.3545027756320971,2,-1.263472606547707,0.35852480417109633,-0.04394405935340778,1st,3rd,3rd,-1.2386067833292336,0.3241798519266453,0.26312126230420596
perc,resp,1999,1,2.2.1left.bmp,2.2.1right.bmp,,ACC023,"[0, 0, -2]","[0, 0, -2]",[],match,1.0,,-0.15334415052012454,0.7800966213854208,0.08542158078563403,2nd,4th,3rd,-0.32112137634538424,1.234407665979702,0.26312126230420596
perc,resp,2136,0,1.3.1left.bmp,1.2.3right.bmp,,ACC023,"[-2, 2, -2]","[-2, 0, 2]",[],non-match,0.3545027756320971,2,-0.5151603053923084,-0.8622644899717208,-0.005287138593079159,2nd,1st,3rd,-0.32112137634538424,-1.2197961505327855,0.26312126230420596
perc,resp,1216,1,1.3.2left.bmp,2.1.2right.bmp,,ACC023,"[-2, 2, 0]","[0, -2, 0]",[],non-match,0.3545027756320971,2,0.9749157327070034,-0.29534143799052814,0.02541266821555531,4th,2nd,3rd,1.3292176044341308,-0.32002527274998077,0.26312126230420596
perc,resp,1335,1,1.1.3left.bmp,3.2.3right.bmp,,ACC023,"[-2, -2, 2]","[2, 0, 2]",[],non-match,0.3545027756320971,2,0.3611726338972472,0.8075576748975238,-0.0230881133388504,3rd,4th,3rd,0.24956604421478282,1.234407665979702,0.26312126230420596
perc,resp,2204,1,1.1.1left.bmp,1.1.1right.bmp,,ACC023,"[-2, -2, -2]","[-2, -2, -2]",[],match,1.0,,0.20597703303531895,0.7473463286842742,-0.08923276295801368,3rd,4th,2nd,0.24956604421478282,1.234407665979702,-0.37159670311919124
perc,resp,1820,1,3.3.2left.bmp,3.3.2right.bmp,,ACC023,"[2, 2, 0]","[2, 2, 0]",[],match,1.0,,-0.850863118970855,0.4349917929970373,-0.13962946687403502,1st,3rd,2nd,-1.2386067833292336,0.3241798519266453,-0.37159670311919124
perc,resp,1352,1,3.1.2left.bmp,1.3.3right.bmp,,ACC023,"[2, -2, 0]","[-2, 2, 2]",[],non-match,0.1339745962155613,1,-0.022847425505583233,0.3423756996363149,-0.039795733717853284,3rd,3rd,3rd,0.24956604421478282,0.3241798519266453,0.26312126230420596
