mode,type,rt,acc,item_1,item_2,item_cue,subj_idx,item_1_number,item_2_number,item_cue_number,trial_type,similarity,similarity_bin,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
perc,resp,687,1,1.3.3left.bmp,1.3.3right.bmp,,ACC021,"[-2, 2, 2]","[-2, 2, 2]",[],match,1.0,,-0.8111364105696399,0.9545446383568559,-2.349000578658148,1st,4th,1st,-1.2448627063770197,1.261180345269208,-1.4092803045534497
perc,resp,862,1,3.2.2left.bmp,3.2.2right.bmp,,ACC021,"[2, 0, 0]","[2, 0, 0]",[],match,1.0,,0.9122391909285751,0.9333012637468708,-2.0069539918446235,4th,4th,1st,1.2310375064099197,1.261180345269208,-1.4092803045534497
perc,resp,1151,0,2.3.1left.bmp,3.3.1right.bmp,,ACC021,"[0, 2, -2]","[2, 2, -2]",[],non-match,0.7113248654051871,4,0.9600710640388979,-0.25761374759007843,-2.380839759824954,4th,2nd,1st,1.2310375064099197,-0.34211005067159656,-1.4092803045534497
perc,resp,878,1,3.1.3left.bmp,1.3.2right.bmp,,ACC021,"[2, -2, 2]","[-2, 2, 0]",[],non-match,0.1339745962155613,1,-0.11809737968358633,-1.5998146761905503,-2.1515297868362997,2nd,1st,1st,-0.3049756814719136,-1.206448639709364,-1.4092803045534497
perc,resp,844,1,3.2.1left.bmp,2.3.3right.bmp,,ACC021,"[2, 0, -2]","[0, 2, 2]",[],non-match,0.29289321881345254,1,0.957236250973002,0.7773689810581718,-2.24283632697558,4th,4th,1st,1.2310375064099197,1.261180345269208,-1.4092803045534497
perc,resp,779,1,1.3.1left.bmp,1.3.1right.bmp,,ACC021,"[-2, 2, -2]","[-2, 2, -2]",[],match,1.0,,-0.6273805056371804,-0.10737115140390951,-2.209907644782005,1st,2nd,1st,-1.2448627063770197,-0.34211005067159656,-1.4092803045534497
perc,resp,998,0,2.1.2left.bmp,3.1.2right.bmp,,ACC021,"[0, -2, 0]","[2, -2, 0]",[],non-match,0.7113248654051871,4,-1.7005424226717774,-0.7666635914037377,-2.1260456435926174,1st,1st,1st,-1.2448627063770197,-1.206448639709364,-1.4092803045534497
perc,resp,895,1,2.2.3left.bmp,2.2.3right.bmp,,ACC021,"[0, 0, 2]","[0, 0, 2]",[],match,1.0,,-0.762592150985618,-0.6993048119850441,-1.7443894737536778,1st,1st,1st,-1.2448627063770197,-1.206448639709364,-1.4092803045534497
perc,resp,1243,1,1.2.1left.bmp,1.2.1right.bmp,,ACC021,"[-2, 0, -2]","[-2, 0, -2]",[],match,1.0,,-0.25094424159892753,-0.2220499097332629,-1.9885076108763067,2nd,2nd,1st,-0.3049756814719136,-0.34211005067159656,-1.4092803045534497
perc,resp,1376,1,3.1.1left.bmp,3.1.1right.bmp,,ACC021,"[2, -2, -2]","[2, -2, -2]",[],match,1.0,,-1.3253064107915382,0.29494174465650064,-2.067169717188246,1st,3rd,1st,-1.2448627063770197,0.2873783451117508,-1.4092803045534497
perc,resp,1196,1,2.2.1left.bmp,1.1.2right.bmp,,ACC021,"[0, 0, -2]","[-2, -2, 0]",[],non-match,0.5,3,-0.9769629642941629,-0.8075420392720076,-2.1575891969720957,1st,1st,1st,-1.2448627063770197,-1.206448639709364,-1.4092803045534497
perc,resp,983,0,2.1.1left.bmp,1.1.1right.bmp,,ACC021,"[0, -2, -2]","[-2, -2, -2]",[],non-match,0.7113248654051871,4,-0.05687355414298055,-0.18809434679755765,-2.2097113769347967,2nd,2nd,1st,-0.3049756814719136,-0.34211005067159656,-1.4092803045534497
perc,resp,1171,1,2.3.3left.bmp,2.3.3right.bmp,,ACC021,"[0, 2, 2]","[0, 2, 2]",[],match,1.0,,0.5457115859079903,-1.6892014024361417,-2.081170747924873,3rd,1st,1st,0.31880088143901353,-1.206448639709364,-1.4092803045534497
perc,resp,878,1,1.1.3left.bmp,1.3.1right.bmp,,ACC021,"[-2, -2, 2]","[-2, 2, -2]",[],non-match,0.18350341907227385,1,-0.6117855397495434,0.7285954518954714,-2.0888044503885106,1st,4th,1st,-1.2448627063770197,1.261180345269208,-1.4092803045534497
perc,resp,1005,1,1.1.2left.bmp,1.1.2right.bmp,,ACC021,"[-2, -2, 0]","[-2, -2, 0]",[],match,1.0,,-0.5777592509656956,-1.8182339562891077,-1.870551635921292,2nd,1st,1st,-0.3049756814719136,-1.206448639709364,-1.4092803045534497
perc,resp,1273,1,3.1.2left.bmp,3.1.2right.bmp,,ACC021,"[2, -2, 0]","[2, -2, 0]",[],match,1.0,,0.0033901232249649513,0.873646102434577,-1.5759104241156598,3rd,4th,1st,0.31880088143901353,1.261180345269208,-1.4092803045534497
perc,resp,952,1,1.2.2left.bmp,2.3.1right.bmp,,ACC021,"[-2, 0, 0]","[0, 2, -2]",[],non-match,0.5,3,-1.3764735398423258,0.48113890209935567,-1.3116947149303855,1st,3rd,1st,-1.2448627063770197,0.2873783451117508,-1.4092803045534497
perc,resp,909,1,3.2.3left.bmp,3.2.3right.bmp,,ACC021,"[2, 0, 2]","[2, 0, 2]",[],match,1.0,,-0.1345078029039462,1.8147897465442984,-1.202007081095885,2nd,4th,1st,-0.3049756814719136,1.261180345269208,-1.4092803045534497
perc,resp,1247,1,3.3.3left.bmp,1.3.3right.bmp,,ACC021,"[2, 2, 2]","[-2, 2, 2]",[],non-match,0.42264973081037416,2,1.0468329001907686,0.024364032611406253,-1.3817289594345317,4th,3rd,1st,1.2310375064099197,0.2873783451117508,-1.4092803045534497
perc,resp,1438,1,1.2.3left.bmp,1.2.1right.bmp,,ACC021,"[-2, 0, 2]","[-2, 0, -2]",[],non-match,0.42264973081037416,2,-1.94880147721043,-1.1662500169103562,-1.412229988229522,1st,1st,1st,-1.2448627063770197,-1.206448639709364,-1.4092803045534497
perc,resp,1542,1,1.1.1left.bmp,3.1.2right.bmp,,ACC021,"[-2, -2, -2]","[2, -2, 0]",[],non-match,0.3545027756320971,2,-1.7619060548825156,0.7879767394426652,-1.1895904536445983,1st,4th,1st,-1.2448627063770197,1.261180345269208,-1.4092803045534497
perc,resp,1231,1,1.3.2left.bmp,1.3.2right.bmp,,ACC021,"[-2, 2, 0]","[-2, 2, 0]",[],match,1.0,,-1.0588109807876043,0.420272585468405,-1.0403916845257661,1st,3rd,1st,-1.2448627063770197,0.2873783451117508,-1.4092803045534497
perc,resp,1040,1,3.3.1left.bmp,3.3.1right.bmp,,ACC021,"[2, 2, -2]","[2, 2, -2]",[],match,1.0,,-0.8848371783109272,-0.8393068763928081,-1.0379421434058773,1st,1st,1st,-1.2448627063770197,-1.206448639709364,-1.4092803045534497
perc,resp,1005,1,3.3.2left.bmp,3.3.2right.bmp,,ACC021,"[2, 2, 0]","[2, 2, 0]",[],match,1.0,,-2.3600224524532396,0.12202246943961897,-0.9527790890438976,1st,3rd,1st,-1.2448627063770197,0.2873783451117508,-1.4092803045534497
perc,resp,1014,1,2.3.2left.bmp,1.1.2right.bmp,,ACC021,"[0, 2, 0]","[-2, -2, 0]",[],non-match,0.3545027756320971,2,-0.24063435981727713,0.34099662341598397,-1.2264139542456618,2nd,3rd,1st,-0.3049756814719136,0.2873783451117508,-1.4092803045534497
perc,resp,1032,1,2.1.3left.bmp,3.2.1right.bmp,,ACC021,"[0, -2, 2]","[2, 0, -2]",[],non-match,0.29289321881345254,1,-0.27927228361194145,1.3977026797431669,-1.0187475539569961,2nd,4th,1st,-0.3049756814719136,1.261180345269208,-1.4092803045534497
perc,resp,929,0,2.2.2left.bmp,2.2.2right.bmp,,ACC021,"[0, 0, 0]","[0, 0, 0]",[],match,1.0,,-2.2021713672984204,-0.13571787900939103,-0.9913964756199193,1st,2nd,1st,-1.2448627063770197,-0.34211005067159656,-1.4092803045534497
