mode,type,rt,acc,item_1,item_2,item_cue,subj_idx,item_1_number,item_2_number,item_cue_number,trial_type,similarity,similarity_bin,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
perc,resp,1020,0,1.2.2left.bmp,1.3.3right.bmp,,ACC033,"[-2, 0, 0]","[-2, 2, 2]",[],non-match,0.5917517095361369,3,0.09023986737412068,0.40981630013994297,-1.763006852648509,3rd,3rd,1st,0.30110682378285597,0.2434256138838892,-1.2433379239182274
perc,resp,1221,1,2.3.1left.bmp,2.3.1right.bmp,,ACC033,"[0, 2, -2]","[0, 2, -2]",[],match,1.0,,-1.2270971074618235,-1.5907998137864656,-1.1815379175406375,1st,1st,1st,-1.2362963738146713,-1.1931112071598857,-1.2433379239182274
perc,resp,1850,1,1.1.2left.bmp,1.1.2right.bmp,,ACC033,"[-2, -2, 0]","[-2, -2, 0]",[],match,1.0,,-0.05818017574389061,-0.42726725614499605,-1.2039121181289698,2nd,2nd,1st,-0.3380964783325295,-0.36905985399775637,-1.2433379239182274
perc,resp,1718,1,1.2.1left.bmp,1.2.1right.bmp,,ACC033,"[-2, 0, -2]","[-2, 0, -2]",[],match,1.0,,0.644236676440749,1.9153480389651667,-0.8929380032442737,4th,4th,1st,1.2777140698905634,1.322325235713222,-1.2433379239182274
perc,resp,1306,1,3.3.2left.bmp,3.3.2right.bmp,,ACC033,"[2, 2, 0]","[2, 2, 0]",[],match,1.0,,-2.05015603221806,-0.49804702378555465,-0.717628133374759,1st,2nd,2nd,-1.2362963738146713,-0.36905985399775637,-0.3302942238326666
perc,resp,1007,1,1.2.3left.bmp,1.2.3right.bmp,,ACC033,"[-2, 0, 2]","[-2, 0, 2]",[],match,1.0,,-0.925619597980315,-1.5860828128341882,-0.8892882832567212,1st,1st,1st,-1.2362963738146713,-1.1931112071598857,-1.2433379239182274
perc,resp,1422,1,2.1.1left.bmp,2.1.1right.bmp,,ACC033,"[0, -2, -2]","[0, -2, -2]",[],match,1.0,,-0.020981679145943826,-0.9895465710116458,-1.3999312304087237,3rd,1st,1st,0.30110682378285597,-1.1931112071598857,-1.2433379239182274
perc,resp,1278,1,2.1.2left.bmp,2.1.2right.bmp,,ACC033,"[0, -2, 0]","[0, -2, 0]",[],match,1.0,,0.7036717685971685,0.3196703716319443,-1.3037301295449872,4th,3rd,1st,1.2777140698905634,0.2434256138838892,-1.2433379239182274
perc,resp,1271,1,2.2.2left.bmp,1.2.2right.bmp,,ACC033,"[0, 0, 0]","[-2, 0, 0]",[],non-match,0.7113248654051871,4,0.7026778722569466,-0.3204599711859099,-1.346305381130605,4th,2nd,1st,1.2777140698905634,-0.36905985399775637,-1.2433379239182274
perc,resp,1156,0,2.2.1left.bmp,3.2.3right.bmp,,ACC033,"[0, 0, -2]","[2, 0, 2]",[],non-match,0.3545027756320971,2,-0.2812347007632997,0.009328894399359465,-1.2260940422649103,2nd,3rd,1st,-0.3380964783325295,0.2434256138838892,-1.2433379239182274
perc,resp,1250,1,3.1.1left.bmp,1.1.1right.bmp,,ACC033,"[2, -2, -2]","[-2, -2, -2]",[],non-match,0.42264973081037416,2,0.29244884676313443,-0.3061438266264963,-1.283359401065566,3rd,2nd,1st,0.30110682378285597,-0.36905985399775637,-1.2433379239182274
perc,resp,1345,1,2.3.3left.bmp,2.3.3right.bmp,,ACC033,"[0, 2, 2]","[0, 2, 2]",[],match,1.0,,-0.8136316107833955,-0.4618152696095269,-1.4252078239556876,1st,2nd,1st,-1.2362963738146713,-0.36905985399775637,-1.2433379239182274
perc,resp,1006,1,3.3.1left.bmp,1.2.3right.bmp,,ACC033,"[2, 2, -2]","[-2, 0, 2]",[],non-match,0.1339745962155613,1,0.8514798903426044,-0.07984528870620011,-1.3227222744419842,4th,2nd,1st,1.2777140698905634,-0.36905985399775637,-1.2433379239182274
perc,resp,1007,1,1.3.3left.bmp,2.2.2right.bmp,,ACC033,"[-2, 2, 2]","[0, 0, 0]",[],non-match,0.5,3,1.4830535116530716,0.6028885912752593,-1.5050913866230944,4th,4th,1st,1.2777140698905634,1.322325235713222,-1.2433379239182274
perc,resp,886,1,1.3.1left.bmp,1.1.2right.bmp,,ACC033,"[-2, 2, -2]","[-2, -2, 0]",[],non-match,0.3545027756320971,2,1.169608025525471,2.5210094705345916,-1.5227690792531516,4th,4th,1st,1.2777140698905634,1.322325235713222,-1.2433379239182274
perc,resp,937,1,3.1.3left.bmp,1.2.2right.bmp,,ACC033,"[2, -2, 2]","[-2, 0, 0]",[],non-match,0.29289321881345254,1,1.093631939961432,1.2670297124110645,-1.4705569085013441,4th,4th,1st,1.2777140698905634,1.322325235713222,-1.2433379239182274
perc,resp,1076,1,1.1.1left.bmp,1.1.1right.bmp,,ACC033,"[-2, -2, -2]","[-2, -2, -2]",[],match,1.0,,0.8033276163932589,0.41303296281783375,-1.3470625277113693,4th,3rd,1st,1.2777140698905634,0.2434256138838892,-1.2433379239182274
perc,resp,1229,1,3.2.3left.bmp,1.3.2right.bmp,,ACC033,"[2, 0, 2]","[-2, 2, 0]",[],non-match,0.29289321881345254,1,-0.43784816347569966,-0.6016217593030743,-1.2939264176443726,2nd,2nd,1st,-0.3380964783325295,-0.36905985399775637,-1.2433379239182274
perc,resp,1524,1,3.3.3left.bmp,2.1.3right.bmp,,ACC033,"[2, 2, 2]","[0, -2, 2]",[],non-match,0.3545027756320971,2,0.21844081932007497,0.7853420128123187,-1.3354375525097115,3rd,4th,1st,0.30110682378285597,1.322325235713222,-1.2433379239182274
perc,resp,1026,1,1.1.3left.bmp,3.3.2right.bmp,,ACC033,"[-2, -2, 2]","[2, 2, 0]",[],non-match,0.1339745962155613,1,0.31245730486389994,0.08397154219320482,-1.2486519451243052,3rd,3rd,1st,0.30110682378285597,0.2434256138838892,-1.2433379239182274
perc,resp,1048,0,3.2.1left.bmp,3.3.1right.bmp,,ACC033,"[2, 0, -2]","[2, 2, -2]",[],non-match,0.7113248654051871,4,-0.8534363659576069,-2.401057073626581,-1.1659905177076546,1st,1st,1st,-1.2362963738146713,-1.1931112071598857,-1.2433379239182274
perc,resp,1191,1,2.3.2left.bmp,2.3.2right.bmp,,ACC033,"[0, 2, 0]","[0, 2, 0]",[],match,1.0,,-1.2173618406728937,0.31202576344646243,-1.1075382806412906,1st,3rd,1st,-1.2362963738146713,0.2434256138838892,-1.2433379239182274
perc,resp,1678,1,1.3.2left.bmp,1.3.2right.bmp,,ACC033,"[-2, 2, 0]","[-2, 2, 0]",[],match,1.0,,-0.18857659468780752,-1.3809104195813346,-1.1769779602367891,2nd,1st,1st,-0.3380964783325295,-1.1931112071598857,-1.2433379239182274
perc,resp,1170,1,3.1.2left.bmp,3.1.2right.bmp,,ACC033,"[2, -2, 0]","[2, -2, 0]",[],match,1.0,,0.0657660752983383,-0.1131703529699823,-1.3054789403363232,3rd,2nd,1st,0.30110682378285597,-0.36905985399775637,-1.2433379239182274
perc,resp,1023,1,3.2.2left.bmp,1.3.1right.bmp,,ACC033,"[2, 0, 0]","[-2, 2, -2]",[],non-match,0.29289321881345254,1,0.6759965004313149,2.7989799635481205,-1.6832458119921005,4th,4th,1st,1.2777140698905634,1.322325235713222,-1.2433379239182274
perc,resp,1132,1,2.1.3left.bmp,2.1.3right.bmp,,ACC033,"[0, -2, 2]","[0, -2, 2]",[],match,1.0,,-0.6614023715630899,-0.9891260767140729,-1.806474462744335,2nd,1st,1st,-0.3380964783325295,-1.1931112071598857,-1.2433379239182274
perc,resp,1165,1,2.2.3left.bmp,2.2.3right.bmp,,ACC033,"[0, 0, 2]","[0, 0, 2]",[],match,1.0,,-0.2042466243517894,-1.3972894407151486,-1.8456222757430172,2nd,1st,1st,-0.3380964783325295,-1.1931112071598857,-1.2433379239182274
perc,resp,1198,1,3.2.2left.bmp,3.2.2right.bmp,,ACC033,"[2, 0, 0]","[2, 0, 0]",[],match,1.0,,0.2031876077444643,0.21413888121843344,-1.8344702792383913,3rd,3rd,1st,0.30110682378285597,0.2434256138838892,-1.2433379239182274
perc,resp,1409,0,2.2.1left.bmp,2.2.1right.bmp,,ACC033,"[0, 0, -2]","[0, 0, -2]",[],match,1.0,,-0.5399365217425879,-0.9011188095607188,-1.80027144836061,2nd,1st,1st,-0.3380964783325295,-1.1931112071598857,-1.2433379239182274
perc,resp,1293,1,3.1.1left.bmp,3.1.1right.bmp,,ACC033,"[2, -2, -2]","[2, -2, -2]",[],match,1.0,,0.06343997456869237,0.24996079005185642,-1.623835842250503,3rd,3rd,1st,0.30110682378285597,0.2434256138838892,-1.2433379239182274
perc,resp,892,1,1.1.3left.bmp,1.3.1right.bmp,,ACC033,"[-2, -2, 2]","[-2, 2, -2]",[],non-match,0.18350341907227385,1,0.033979312935839376,-2.0086671618824674,-1.6477210159867188,3rd,1st,1st,0.30110682378285597,-1.1931112071598857,-1.2433379239182274
perc,resp,1072,1,3.1.3left.bmp,3.1.3right.bmp,,ACC033,"[2, -2, 2]","[2, -2, 2]",[],match,1.0,,-0.23115033980932417,-0.3368689481578846,-1.6333338962354171,2nd,2nd,1st,-0.3380964783325295,-0.36905985399775637,-1.2433379239182274
perc,resp,1443,1,1.1.1left.bmp,2.1.2right.bmp,,ACC033,"[-2, -2, -2]","[0, -2, 0]",[],non-match,0.5917517095361369,3,-0.5045267107975485,0.7368347492763365,-1.6053940668458904,2nd,4th,1st,-0.3380964783325295,1.322325235713222,-1.2433379239182274
perc,resp,1286,1,1.3.2left.bmp,1.3.2right.bmp,,ACC033,"[-2, 2, 0]","[-2, 2, 0]",[],match,1.0,,-0.42661546528590805,-1.019216047996089,-1.4221672768887634,2nd,1st,1st,-0.3380964783325295,-1.1931112071598857,-1.2433379239182274
perc,resp,1105,1,2.1.3left.bmp,2.2.1right.bmp,,ACC033,"[0, -2, 2]","[0, 0, -2]",[],non-match,0.3545027756320971,2,-1.1958422820584378,-1.017531444365028,-1.0877436031349028,1st,1st,1st,-1.2362963738146713,-1.1931112071598857,-1.2433379239182274
perc,resp,1080,1,2.3.2left.bmp,3.1.2right.bmp,,ACC033,"[0, 2, 0]","[2, -2, 0]",[],non-match,0.3545027756320971,2,-1.293370723021023,-0.8870868933719237,-0.9350276864351669,1st,1st,1st,-1.2362963738146713,-1.1931112071598857,-1.2433379239182274
perc,resp,993,1,1.2.3left.bmp,3.3.1right.bmp,,ACC033,"[-2, 0, 2]","[2, 2, -2]",[],non-match,0.1339745962155613,1,0.7900402949374177,-0.036891519245851614,-0.9672591903734501,4th,3rd,1st,1.2777140698905634,0.2434256138838892,-1.2433379239182274
perc,resp,1326,1,2.2.2left.bmp,2.2.2right.bmp,,ACC033,"[0, 0, 0]","[0, 0, 0]",[],match,1.0,,-0.7629585930058133,-0.839445872959113,-0.8002435123306615,1st,1st,1st,-1.2362963738146713,-1.1931112071598857,-1.2433379239182274
perc,resp,1361,0,2.3.3left.bmp,2.2.3right.bmp,,ACC033,"[0, 2, 2]","[0, 0, 2]",[],non-match,0.7113248654051871,4,-1.7802430103247164,0.7709301557772497,-0.9919128360720645,1st,4th,1st,-1.2362963738146713,1.322325235713222,-1.2433379239182274
