mode,type,rt,acc,item_1,item_2,item_cue,subj_idx,item_1_number,item_2_number,item_cue_number,trial_type,similarity,similarity_bin,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
perc,resp,1807,1,3.3.3left.bmp,3.3.3right.bmp,,ACC019,"[2, 2, 2]","[2, 2, 2]",[],match,1.0,,-1.9223417932876965,-1.602966279553069,-0.6506433350139686,1st,1st,1st,-1.2477371306253746,-1.215316438197501,-0.8556863752246574
perc,resp,1621,1,1.1.2left.bmp,1.1.2right.bmp,,ACC019,"[-2, -2, 0]","[-2, -2, 0]",[],match,1.0,,0.1693271773124456,-1.0499477234175845,-0.5619347262386365,3rd,1st,2nd,0.35292259030782513,-1.215316438197501,-0.47760446903514503
perc,resp,2046,1,2.1.3left.bmp,2.3.3right.bmp,,ACC019,"[0, -2, 2]","[0, 2, 2]",[],non-match,0.42264973081037416,2,-0.31448191281834587,-1.1512452532386825,-0.6417100005686626,2nd,1st,1st,-0.31675144200820676,-1.215316438197501,-0.8556863752246574
perc,resp,1520,0,2.2.3left.bmp,3.1.3right.bmp,,ACC019,"[0, 0, 2]","[2, -2, 2]",[],non-match,0.5917517095361369,3,-1.6216965872605529,-1.2465329889170762,-0.7485513172953042,1st,1st,1st,-1.2477371306253746,-1.215316438197501,-0.8556863752246574
perc,resp,2533,1,2.2.2left.bmp,2.2.2right.bmp,,ACC019,"[0, 0, 0]","[0, 0, 0]",[],match,1.0,,-1.837819117731482,-0.7253744338401978,-0.8147504674501173,1st,1st,1st,-1.2477371306253746,-1.215316438197501,-0.8556863752246574
perc,resp,954,1,3.3.1left.bmp,1.1.2right.bmp,,ACC019,"[2, 2, -2]","[-2, -2, 0]",[],non-match,0.1339745962155613,1,-0.3086232683822864,-0.09333034345636579,-0.8709100127203608,2nd,2nd,1st,-0.31675144200820676,-0.32511826295750806,-0.8556863752246574
perc,resp,2644,1,3.2.1left.bmp,3.2.1right.bmp,,ACC019,"[2, 0, -2]","[2, 0, -2]",[],match,1.0,,-1.8846277089565922,-2.4314554906845087,-0.8057547302687985,1st,1st,1st,-1.2477371306253746,-1.215316438197501,-0.8556863752246574
perc,resp,3131,1,2.3.2left.bmp,2.1.1right.bmp,,ACC019,"[0, 2, 0]","[0, -2, -2]",[],non-match,0.3545027756320971,2,-1.2091780794538716,-0.40810588545333915,-0.6078039489500253,1st,2nd,2nd,-1.2477371306253746,-0.32511826295750806,-0.47760446903514503
perc,resp,2929,1,2.2.1left.bmp,2.2.1right.bmp,,ACC019,"[0, 0, -2]","[0, 0, -2]",[],match,1.0,,-1.8706858596017961,-1.9482799159321973,-0.704308120804186,1st,1st,1st,-1.2477371306253746,-1.215316438197501,-0.8556863752246574
perc,resp,1790,0,1.3.1left.bmp,1.2.3right.bmp,,ACC019,"[-2, 2, -2]","[-2, 0, 2]",[],non-match,0.3545027756320971,2,-0.5065813506715624,0.5098741536708145,-0.6934501156296288,2nd,3rd,1st,-0.31675144200820676,0.2897501245355415,-0.8556863752246574
