ams,pams,slps,probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,subj,ams_quantile,pams_quantile,slps_quantile,am_bin,pa_bin,slp_bin
-1.0975564825852044,-2.5318150711136584,2.409751678155635,1.0,0.44959,4,1,2,1,1,1,1,sub-STSWD1131,1st,1st,4th,-1.28361817758433,-1.279772941474588,1.5753295252312172
-2.5238117643165747,-1.7146294348800741,2.4411747920330256,1.0,0.49851,4,1,2,1,1,1,1,sub-STSWD1131,1st,1st,4th,-1.28361817758433,-1.279772941474588,1.5753295252312172
-2.6853374370855647,0.11163267886470847,2.6399893761643214,1.0,0.52538,4,1,1,1,1,1,1,sub-STSWD1131,1st,3rd,4th,-1.28361817758433,0.3775335671165584,1.5753295252312172
0.8089338629772032,-0.6371378108440598,2.64894117455732,0.0,0.35339,4,1,1,1,1,1,1,sub-STSWD1131,4th,2nd,4th,1.2161096873370765,-0.3462970175426192,1.5753295252312172
-2.2229554305858317,1.3452595354850647,2.5797096437790463,1.0,0.48836,4,1,1,1,1,1,1,sub-STSWD1131,1st,4th,4th,-1.28361817758433,1.2544353538868445,1.5753295252312172
-2.3110553334182464,0.4633100008041542,2.409921550715167,1.0,0.37818,4,1,2,1,1,1,1,sub-STSWD1131,1st,3rd,4th,-1.28361817758433,0.3775335671165584,1.5753295252312172
-1.629566646285889,-1.5947105167309816,2.063848739887945,1.0,0.35215,4,1,1,1,1,1,1,sub-STSWD1131,1st,1st,4th,-1.28361817758433,-1.279772941474588,1.5753295252312172
-1.2013631014058204,-1.9833329540042306,1.9270842439709788,1.0,0.47421,4,1,1,1,1,1,1,sub-STSWD1131,1st,1st,4th,-1.28361817758433,-1.279772941474588,1.5753295252312172
0.5450728396414223,-1.882695640044129,1.9639132072748458,0.0,0.77104,4,4,1,1,1,1,1,sub-STSWD1131,3rd,1st,4th,0.35219294525320866,-1.279772941474588,1.5753295252312172
-0.08937117523240339,1.6808538987583712,1.9421030725224213,1.0,0.51597,4,4,2,1,1,1,1,sub-STSWD1131,2nd,4th,4th,-0.2791814402363736,1.2544353538868445,1.5753295252312172
