probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,subj_idx,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
1,0.62576,2,3,2,1,1,1,1,sub-STSWD1118,-0.006871411693836919,-1.5703582804649325,1.4258621030425744,3rd,1st,4th,0.2391385188418523,-1.2364997312291153,1.1832556022478808
1,0.89466,1,3,1,1,1,1,1,sub-STSWD1118,-1.4791689756762316,0.051838892058826934,1.2954144288178846,1st,3rd,4th,-1.158573432066193,0.2809105320860467,1.1832556022478808
0,0.91459,2,3,1,1,1,1,1,sub-STSWD1118,0.5536798453888269,0.022733184840165625,1.0595670197187057,3rd,3rd,4th,0.2391385188418523,0.2809105320860467,1.1832556022478808
1,0.4975,2,3,2,1,1,1,1,sub-STSWD1118,-1.8499445239473822,-1.2612808325643945,1.082350941028481,1st,1st,4th,-1.158573432066193,-1.2364997312291153,1.1832556022478808
0,1.0044,1,2,1,1,1,1,1,sub-STSWD1118,-0.9453648896098139,1.8003475865426903,0.9385053029428798,1st,4th,4th,-1.158573432066193,1.3134158935811728,1.1832556022478808
1,0.59417,4,2,1,1,1,1,1,sub-STSWD1118,-1.055168438988062,-1.163669135393858,0.7756992320833495,1st,1st,3rd,-1.158573432066193,-1.2364997312291153,0.5133179356762894
1,0.4103,1,2,2,1,1,1,1,sub-STSWD1118,-0.02414939945862831,-0.031907059651432326,0.41687753150169266,3rd,3rd,3rd,0.2391385188418523,0.2809105320860467,0.5133179356762894
1,0.52213,1,2,1,1,1,1,1,sub-STSWD1118,-0.9410810275422098,-0.46545626498589504,0.7714291306501946,1st,2nd,3rd,-1.158573432066193,-0.35336779710340577,0.5133179356762894
1,0.46397,4,2,2,1,1,1,1,sub-STSWD1118,0.31647542457594763,-1.742233786246527,1.1433881381365603,3rd,1st,4th,0.2391385188418523,-1.2364997312291153,1.1832556022478808
0,0.75294,1,2,2,1,1,1,1,sub-STSWD1118,-1.0355609701199415,-0.8291793668929848,1.347531580310316,1st,1st,4th,-1.158573432066193,-1.2364997312291153,1.1832556022478808
0,0.4587,1,1,2,1,1,1,1,sub-STSWD1118,1.4380826188598284,-0.42726142168422865,1.0738057852866252,4th,2nd,4th,1.2827014828731287,-0.35336779710340577,1.1832556022478808
1,0.35868,1,1,1,1,1,1,1,sub-STSWD1118,-1.5984587337292193,-1.6172937029328789,0.9365481939614256,1st,1st,4th,-1.158573432066193,-1.2364997312291153,1.1832556022478808
0,0.83164,1,1,1,1,1,1,1,sub-STSWD1118,-0.07162959673543834,1.191451232882988,0.9384710311288487,2nd,4th,4th,-0.359470720143362,1.3134158935811728,1.1832556022478808
