mode,type,rt,acc,item_1,item_2,item_cue,subj_idx,item_1_number,item_2_number,item_cue_number,trial_type,similarity,similarity_bin,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
perc,resp,1551,1,2.3.1left.bmp,2.3.1right.bmp,,ACC017,"[0, 2, -2]","[0, 2, -2]",[],match,1.0,,-1.0359798125015802,1.3920151986077922,0.4797782564995848,1st,4th,3rd,-1.2310033154929765,1.1670627682546828,0.2973213965863526
perc,resp,1514,1,1.1.2left.bmp,1.1.2right.bmp,,ACC017,"[-2, -2, 0]","[-2, -2, 0]",[],match,1.0,,-0.5032627230540022,-0.8888335740954908,0.7512486232576601,2nd,1st,4th,-0.33027445364677105,-1.2506709814620702,1.2700789486140058
perc,resp,1714,0,1.2.1left.bmp,1.2.1right.bmp,,ACC017,"[-2, 0, -2]","[-2, 0, -2]",[],match,1.0,,0.04227660564996767,0.3373941016476865,0.7691657231132218,3rd,3rd,4th,0.31208554452620596,0.3278879091019113,1.2700789486140058
perc,resp,1273,1,3.3.2left.bmp,3.3.2right.bmp,,ACC017,"[2, 2, 0]","[2, 2, 0]",[],match,1.0,,1.681394022661973,0.52058637113559,0.6603181534379015,4th,3rd,3rd,1.2541459634155447,0.3278879091019113,0.2973213965863526
perc,resp,1752,1,1.2.3left.bmp,1.2.3right.bmp,,ACC017,"[-2, 0, 2]","[-2, 0, 2]",[],match,1.0,,0.19554350088489975,-0.807027644780128,0.4862840107634389,3rd,1st,3rd,0.31208554452620596,-1.2506709814620702,0.2973213965863526
perc,resp,1610,1,2.1.1left.bmp,2.1.1right.bmp,,ACC017,"[0, -2, -2]","[0, -2, -2]",[],match,1.0,,-0.5355547553835112,0.24082844596188188,0.41907585398144975,2nd,3rd,3rd,-0.33027445364677105,0.3278879091019113,0.2973213965863526
perc,resp,1521,1,2.1.2left.bmp,2.1.2right.bmp,,ACC017,"[0, -2, 0]","[0, -2, 0]",[],match,1.0,,0.10364684138240925,0.6401642043935672,0.06616092295866556,3rd,3rd,3rd,0.31208554452620596,0.3278879091019113,0.2973213965863526
perc,resp,1809,0,2.2.2left.bmp,1.2.2right.bmp,,ACC017,"[0, 0, 0]","[-2, 0, 0]",[],non-match,0.7113248654051871,4,0.6006796270509628,0.9528788664283663,-0.24094785256507667,3rd,4th,2nd,0.31208554452620596,1.1670627682546828,-0.3318695588764443
perc,resp,1577,0,2.2.1left.bmp,3.2.3right.bmp,,ACC017,"[0, 0, -2]","[2, 0, 2]",[],non-match,0.3545027756320971,2,0.08124842154961465,1.5839578354543502,-0.28542863278933706,3rd,4th,2nd,0.31208554452620596,1.1670627682546828,-0.3318695588764443
perc,resp,1394,1,3.1.1left.bmp,1.1.1right.bmp,,ACC017,"[2, -2, -2]","[-2, -2, -2]",[],non-match,0.42264973081037416,2,-1.4437826596578782,-1.6691348722289674,-0.28192165406823344,1st,1st,2nd,-1.2310033154929765,-1.2506709814620702,-0.3318695588764443
