mode,type,rt,acc,item_1,item_2,item_cue,subj_idx,item_1_number,item_2_number,item_cue_number,trial_type,similarity,similarity_bin,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
perc,resp,927,1,1.2.2left.bmp,1.3.3right.bmp,,ACC014,"[-2, 0, 0]","[-2, 2, 2]",[],non-match,0.5917517095361369,3,-1.0638984779146294,-0.3166688201048698,0.48012721981947076,1st,2nd,3rd,-1.234654563158233,-0.2680432584118046,0.42265471603277077
perc,resp,838,0,2.3.1left.bmp,2.3.1right.bmp,,ACC014,"[0, 2, -2]","[0, 2, -2]",[],match,1.0,,-0.07789180235176475,-0.43158538637367255,-0.210252568353476,2nd,2nd,2nd,-0.33539210738090497,-0.2680432584118046,-0.5007246736891283
perc,resp,1363,1,1.1.2left.bmp,1.1.2right.bmp,,ACC014,"[-2, -2, 0]","[-2, -2, 0]",[],match,1.0,,-0.6833826158630731,-0.2912838554319376,-0.4061423011857542,1st,2nd,2nd,-1.234654563158233,-0.2680432584118046,-0.5007246736891283
perc,resp,914,0,1.2.1left.bmp,1.2.1right.bmp,,ACC014,"[-2, 0, -2]","[-2, 0, -2]",[],match,1.0,,-0.46001141196575907,0.23481590894739918,-0.7607685230472476,2nd,3rd,2nd,-0.33539210738090497,0.27569233083350203,-0.5007246736891283
perc,resp,1340,1,3.3.2left.bmp,3.3.2right.bmp,,ACC014,"[2, 2, 0]","[2, 2, 0]",[],match,1.0,,-0.09397565123766106,-0.7406393884772581,-0.422771659242065,2nd,1st,2nd,-0.33539210738090497,-1.199475412605248,-0.5007246736891283
perc,resp,883,1,1.2.3left.bmp,1.2.3right.bmp,,ACC014,"[-2, 0, 2]","[-2, 0, 2]",[],match,1.0,,-0.613703179519119,0.1628044392468887,-0.10462268797939543,2nd,3rd,2nd,-0.33539210738090497,0.27569233083350203,-0.5007246736891283
perc,resp,1468,1,2.1.1left.bmp,2.1.1right.bmp,,ACC014,"[0, -2, -2]","[0, -2, -2]",[],match,1.0,,-0.9971603841838494,-0.5709260186225062,-0.06379957033406031,1st,1st,2nd,-1.234654563158233,-1.199475412605248,-0.5007246736891283
perc,resp,841,1,2.1.2left.bmp,2.1.2right.bmp,,ACC014,"[0, -2, 0]","[0, -2, 0]",[],match,1.0,,0.24702509203692422,0.5923829926599986,0.02595846751104468,3rd,3rd,3rd,0.2987564483745451,0.27569233083350203,0.42265471603277077
perc,resp,1104,0,2.2.2left.bmp,1.2.2right.bmp,,ACC014,"[0, 0, 0]","[-2, 0, 0]",[],non-match,0.7113248654051871,4,0.2540696329980976,-0.441032506996758,0.1465074252871288,3rd,2nd,3rd,0.2987564483745451,-0.2680432584118046,0.42265471603277077
perc,resp,1056,1,2.2.1left.bmp,3.2.3right.bmp,,ACC014,"[0, 0, -2]","[2, 0, 2]",[],non-match,0.3545027756320971,2,-1.2587644306705186,-0.5716105154888542,0.20174589115654348,1st,1st,3rd,-1.234654563158233,-1.199475412605248,0.42265471603277077
perc,resp,1201,1,3.1.1left.bmp,1.1.1right.bmp,,ACC014,"[2, -2, -2]","[-2, -2, -2]",[],non-match,0.42264973081037416,2,-1.4570244579158114,-0.6451059218812967,0.17536994752966145,1st,1st,3rd,-1.234654563158233,-1.199475412605248,0.42265471603277077
perc,resp,1154,1,2.3.3left.bmp,2.3.3right.bmp,,ACC014,"[0, 2, 2]","[0, 2, 2]",[],match,1.0,,-0.4966856457328807,-0.2093268997807503,0.40258583129806924,2nd,2nd,3rd,-0.33539210738090497,-0.2680432584118046,0.42265471603277077
perc,resp,885,1,3.3.1left.bmp,1.2.3right.bmp,,ACC014,"[2, 2, -2]","[-2, 0, 2]",[],non-match,0.1339745962155613,1,0.5697142733222491,0.4412342235797035,0.3377751301556009,3rd,3rd,3rd,0.2987564483745451,0.27569233083350203,0.42265471603277077
perc,resp,1078,1,1.3.3left.bmp,2.2.2right.bmp,,ACC014,"[-2, 2, 2]","[0, 0, 0]",[],non-match,0.5,3,-0.5950143485869587,0.5726550414739688,0.5474780414627429,2nd,3rd,3rd,-0.33539210738090497,0.27569233083350203,0.42265471603277077
perc,resp,1231,1,1.3.1left.bmp,1.1.2right.bmp,,ACC014,"[-2, 2, -2]","[-2, -2, 0]",[],non-match,0.3545027756320971,2,-0.2672992977535179,-0.23509503783177574,0.758618689938158,2nd,2nd,3rd,-0.33539210738090497,-0.2680432584118046,0.42265471603277077
perc,resp,932,1,3.1.3left.bmp,1.2.2right.bmp,,ACC014,"[2, -2, 2]","[-2, 0, 0]",[],non-match,0.29289321881345254,1,-1.090736290869863,-0.24816059812297533,0.8609594868251076,1st,2nd,4th,-1.234654563158233,-0.2680432584118046,1.3187353340780108
perc,resp,1407,1,1.1.1left.bmp,1.1.1right.bmp,,ACC014,"[-2, -2, -2]","[-2, -2, -2]",[],match,1.0,,0.170864599168798,-0.4427238073061711,0.9971104620761915,3rd,2nd,4th,0.2987564483745451,-0.2680432584118046,1.3187353340780108
