model,loo,p_loo
v_ams,-25691.79132333087,26089.73532027709
v_pams,-27792.770443424517,28200.83319265498
v_slps,-28113.012460601298,28474.797124506713
v_ams_bin,-28093.43588410299,28469.928571267235
v_pam_bin,-28242.993071475477,28647.23992061603
v_slp_bin,-27579.467305650272,27946.30061875845
