v_ams_bin,v_C(condition)[T.2.0]:ams_bin,v_C(condition)[T.3.0]:ams_bin,v_C(condition)[T.4.0]:ams_bin
1.0582111519567667,-0.224394894837215,-0.46498785113092667,-0.9039704971088405
0.9673152329883015,-0.2660938999424491,-0.542343155212588,-0.8942642674595276
0.9658143661917806,-0.2719143418076133,-0.557039033615471,-0.8839850599049904
1.1310062112486305,-0.23922856161460865,-0.5464256705530995,-0.8662845447397796
1.117712184153767,-0.19842597806883736,-0.5583618154800637,-0.8690345312511537
1.005138781100106,-0.1761612391642101,-0.5709641258604827,-0.880121449256813
1.032839534595556,-0.14390720984468663,-0.49228244269614,-0.9341872338143855
0.9655929210610595,-0.15376280167183382,-0.6072918064683306,-0.9331359782868981
1.0223158181299892,-0.13796530205865662,-0.47317054706216005,-0.9197572483871057
1.0948841005525025,-0.13153036609055613,-0.4803709568702712,-0.9110444561756827
1.1159726857361654,-0.12977170969628346,-0.49037636709725035,-0.8974346634133683
1.08206627635076,-0.14215097102862095,-0.49763215592338467,-0.8691818397134866
1.101607368714663,-0.16018711034051444,-0.49895430959717896,-0.9000243768692766
0.9475421117386261,-0.17680895070405894,-0.48654341892739744,-0.888631155716621
1.0894392404491826,-0.18262162479866414,-0.5464462314229269,-0.9252553111034751
1.0816737726415702,-0.19089584927416278,-0.5356836494338921,-0.8690571891115386
1.0484892959877241,-0.1773462345788465,-0.5388124719847145,-0.8246302465254269
1.0013045878547158,-0.19088745814173166,-0.48499162545448815,-0.8649035396026821
1.0349164619552624,-0.17789471474968122,-0.4698153960248802,-0.912107631771184
0.9745285306066902,-0.16934008217004706,-0.4685060653076671,-0.8510039075776827
1.0097055482912447,-0.16905927594806835,-0.45796215528042444,-0.8999887418988824
0.9800709701288718,-0.16655259056593985,-0.4358609775731995,-0.8527749280071464
0.9515842637647547,-0.1606677031900402,-0.4568904361462153,-0.972818740553376
0.9085849889931481,-0.16147275263300645,-0.48330477439641106,-0.9222688463411277
0.9471496952463081,-0.14699218031577815,-0.4747241750432993,-1.033422636130074
1.0135675000028268,-0.140515961898912,-0.4725083233135734,-1.056399972890729
0.9192572648791933,-0.14297949033229956,-0.470596451198968,-0.9604676046223771
1.0706682621026908,-0.1333048147159218,-0.4697718673016622,-0.887075760157841
1.000397086484782,-0.14910764779036081,-0.4570433377066269,-0.9687709727649171
1.0206053033999771,-0.1493731050793163,-0.4639005453118436,-0.9398674434943206
0.9216589381734502,-0.13990800083253258,-0.46582325894839666,-0.9244128468158612
0.8850633807252671,-0.1290059022067567,-0.46609041934538464,-0.8176710101727482
0.8617741649507512,-0.11850940249726105,-0.4535436953708686,-0.8744546604256351
0.9614587969492472,-0.11106822862203605,-0.45450232300072646,-0.8597206329301667
0.9685503919416211,-0.10667106894250944,-0.4511169841751952,-0.901706455637295
1.0502544322124236,-0.12640629607522114,-0.45642613835364243,-0.9437620271477896
1.0442241242566352,-0.11526906238390136,-0.4649494650472125,-0.7059741779065372
