v_pam_bin,v_C(condition)[T.2.0]:pam_bin,v_C(condition)[T.3.0]:pam_bin,v_C(condition)[T.4.0]:pam_bin
0.4401042180189212,-0.1286870723088412,-0.3939007718644534,-0.5346353689882736
0.34590768598590244,-0.10486866632226749,-0.3254252388186742,-0.5052474088605708
0.3328012767625563,-0.07555861353776419,-0.30230925997936636,-0.4243488648829546
0.3105802825355594,-0.045273852875325774,-0.30157847031581536,-0.4372286112630484
0.39049107191977106,0.0057334611819543566,-0.34251752942144287,-0.45367758044579154
0.41150125783228464,-0.08456565812239583,-0.3076344401236935,-0.4556343783967107
0.35679081308083743,-0.05470777991616228,-0.29715964469279166,-0.44976130384086693
0.3227367282719375,-0.04227816546372938,-0.17718441967799428,-0.4371742418568852
0.33838142301651125,-0.058473938634007586,-0.2628795543866599,-0.4738627721099786
0.3450168493272057,-0.09305757942491205,-0.24029693335608812,-0.5097171630350531
0.3201142723125365,-0.08034489547316032,-0.27899466530369266,-0.5151412075321968
0.2518094973070846,-0.1507253609597708,-0.17706286236742258,-0.5387386141179199
0.22762424924502045,-0.1089381180581953,-0.12349664479964517,-0.5236888967845676
0.18707302876018178,-0.07222841790193486,-0.05533630240032427,-0.5230572790643978
0.260503038194331,-0.05760410725784123,-0.2913758076064119,-0.4826633759087885
0.3574666256935222,-0.06866055970430321,-0.04280624266559839,-0.46291328639333684
0.3931999991806233,-0.07727943881007131,-0.1972772502756454,-0.45093825031860973
0.3073403446714171,-0.07734486598211415,-0.185131455388728,-0.4399547245638484
0.3109076192754702,-0.10339269039080623,-0.2439933717590752,-0.44938422578158194
0.27493968894549137,-0.11991596430167065,-0.1684007259694374,-0.4076128746825416
0.2601965900741337,-0.10237789484412749,-0.017807230657374697,-0.36804671056903404
0.2310615151880565,-0.07424724622064392,-0.08092829814562784,-0.373589049428299
0.25133314418884845,-0.09334618212524365,-0.21840578475076408,-0.42570174652608445
0.30484476415739237,-0.08551698618538767,-0.11599928678016089,-0.40453146944811824
0.29226579112140616,-0.0926724325845758,-0.09573358379246633,-0.49398512640691006
0.3834402105911656,-0.08507020439259678,-0.09091857768419456,-0.3842509501241402
0.29116391381231466,-0.09509243483176888,-0.12706453532001227,-0.4360886502499702
0.2946479727791852,-0.11810397359020428,-0.18842419645325592,-0.5021785152541134
0.28760389996756935,-0.11534559614151704,-0.18307067210428304,-0.5559778187316894
0.2706497793117417,-0.09417437185709712,-0.21646418111515903,-0.5437551142221482
0.2956556689658695,-0.10097940924962853,-0.3019022073065434,-0.5544513993545477
0.3161125243810845,-0.09420662693642538,-0.24976523426039032,-0.3734711228140402
0.3493263193698965,-0.03987832763706094,-0.2800358313088769,-0.46335266921843904
