v_slp_bin,v_C(condition)[T.2.0]:slp_bin,v_C(condition)[T.3.0]:slp_bin,v_C(condition)[T.4.0]:slp_bin
-0.18546430078027293,0.2392564734133523,0.1759282352421199,0.024000443557783385
-0.18160810824249576,0.26638169412910834,0.1695820902935079,0.16998843962945198
-0.14409865317924017,0.30698373414223906,0.17135833748560506,0.08982608258840094
-0.16557593833455878,0.30070980481798154,0.18419208893753242,-0.0036180658243564756
-0.2109785238751311,0.263189841762844,0.18251313910842631,-0.010292045235840236
-0.22044085967434243,0.22596620307778195,0.17898840670171293,-0.00936157847160976
-0.2020741514740063,0.21009861763705573,0.17071569214513857,0.014499935391838283
-0.217344894726726,0.15888074689500664,0.1632649521130312,0.019253946793357325
-0.19151332415906439,0.13004979123200378,0.1590749505544555,0.018993553656045385
-0.22429218113074578,0.08528342688085967,0.1617953035398752,0.03294856363698265
-0.17664841693341893,0.1297125912701976,0.15780191243045336,0.06850910387005218
-0.17483859557133255,0.12085340296967044,0.14985150301399344,0.04894924153944999
-0.17111457879619482,0.19398863214395184,0.15159390826384542,0.08121769765362963
-0.18013429351056734,0.1436438825485337,0.15179641441638392,0.12820139558223348
-0.18319588959746072,0.15799294850974754,0.1568924704718458,0.0940765827349997
-0.19432046866756678,0.16746155258928883,0.15645194702317272,0.1084145090042698
-0.24553016807564645,0.13294487393930823,0.15050004052888985,0.12545052402244877
-0.19357000038763927,0.11817208595357631,0.148911569166735,0.14825720409403748
-0.18926998373403928,0.0934567937276731,0.1487527814363578,0.1451153259598618
-0.21639756503078328,0.10634833796668153,0.1597976325038565,0.14898785849970891
-0.20453450179707874,0.010628670664612636,0.15876260357114647,0.15417717830767685
-0.17915395075551308,0.016723327637271822,0.15504977949263082,0.15113170331579043
-0.1511855631069094,-0.0030165978605531905,0.16025593447476935,0.15377377655758326
-0.19343681123844744,-0.010601135456318167,0.1582245835527827,0.17462841774530422
-0.1643993238877085,-0.01588694212600869,0.16206392192813085,0.21478605452368607
-0.13303849238594198,-0.029327748048576033,0.16066287326222242,0.18787710235182833
-0.1329981769614613,-0.03321151688266726,0.1614475406587719,0.1729787474384448
-0.12324442227664774,-0.02703506324294813,0.167781450178124,0.14113228768520042
-0.11814073773473491,-0.02169587093974619,0.17242196541883723,0.09452866620005625
-0.12324262236159869,0.023907598828355824,0.17157769247373553,0.16839034969547215
-0.15546194543303102,0.030502065722638264,0.17399888646291004,0.196490097646339
-0.1708352415916895,0.030388254780127782,0.17448021807739122,0.1731059553070559
-0.17104485497661398,0.06195200442331602,0.17091447653771727,0.18016086595618905
-0.10773562700045657,0.05106411230990343,0.17805681346338853,0.19744737051112685
-0.1575587403440177,0.04894003166474735,0.17549408985227494,0.24641628085809503
-0.18032641343897016,0.05529953237913078,0.17205547661641196,0.2301462856302991
