mode,type,rt,acc,item_1,item_2,item_cue,subj_idx,item_1_number,item_2_number,item_cue_number,trial_type,summed_similarity,similarity_bin,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
mem,resp,320,1,mem3.2.1.bmp,mem3.1.2.bmp,mem1.2.2.bmp,ACC018,"[3, 0, -3]","[3, -3, 0]","[-3, 0, 0]",non-match,0.7090055512641944,2,0.15820633188599093,0.8466893129167807,-0.8888973166566971,3rd,4th,1st,0.3603546607574523,1.2494489388976322,-1.1111156255794852
mem,resp,1479,0,mem2.3.2.bmp,mem3.3.3.bmp,mem3.3.3.bmp,ACC018,"[0, 3, 0]","[3, 3, 3]","[3, 3, 3]",match,1.591751709536137,,-0.7802985578695728,-1.138131065203195,-0.5748565316024828,1st,1st,2nd,-1.2466022467719802,-1.2067840466549895,-0.572612073051716
mem,resp,985,1,mem2.2.3.bmp,mem1.2.1.bmp,mem2.2.3.bmp,ACC018,"[0, 0, 3]","[-3, 0, -3]","[0, 0, 3]",match,1.3545027756320973,,-0.2213947426738796,-0.35726778167942713,-0.8128067928887652,2nd,2nd,1st,-0.29199933511364107,-0.34067824578242084,-1.1111156255794852
mem,resp,1082,1,mem3.2.2.bmp,mem1.3.2.bmp,mem2.2.1.bmp,ACC018,"[3, 0, 0]","[-3, 3, 0]","[0, 0, -3]",non-match,1.091751709536137,4,-1.2488503177840202,-1.310453148721299,-0.7216094090266912,1st,1st,2nd,-1.2466022467719802,-1.2067840466549895,-0.572612073051716
mem,resp,1903,0,mem1.1.2.bmp,mem2.3.3.bmp,mem2.3.3.bmp,ACC018,"[-3, -3, 0]","[0, 3, 3]","[0, 3, 3]",match,1.2928932188134525,,-1.1642119979374,-0.8714108342873266,-0.7854509917138434,1st,1st,2nd,-1.2466022467719802,-1.2067840466549895,-0.572612073051716
mem,resp,1715,0,mem1.1.3.bmp,mem1.2.2.bmp,mem1.1.3.bmp,ACC018,"[-3, -3, 3]","[-3, 0, 0]","[-3, -3, 3]",match,1.591751709536137,,1.5754727551275223,-0.001222060605073192,-0.7926718174630015,4th,2nd,2nd,1.1950928974358983,-0.34067824578242084,-0.572612073051716
mem,resp,1244,1,mem1.2.1.bmp,mem1.2.3.bmp,mem1.2.3.bmp,ACC018,"[-3, 0, -3]","[-3, 0, 3]","[-3, 0, 3]",match,1.4226497308103743,,0.6786251999093963,0.2407794959481637,-0.883448525833123,4th,3rd,1st,1.1950928974358983,0.3143212460621432,-1.1111156255794852
mem,resp,1161,1,mem3.3.2.bmp,mem3.1.3.bmp,mem3.1.3.bmp,ACC018,"[3, 3, 0]","[3, -3, 3]","[3, -3, 3]",match,1.3545027756320973,,-1.6540829642785506,-1.1721058574676342,-0.737572525443553,1st,1st,2nd,-1.2466022467719802,-1.2067840466549895,-0.572612073051716
mem,resp,663,1,mem2.1.2.bmp,mem2.2.2.bmp,mem2.1.2.bmp,ACC018,"[0, -3, 0]","[0, 0, 0]","[0, -3, 0]",match,1.7113248654051871,,-0.8483253844536183,-1.129273718531738,-0.20241247123064574,1st,1st,3rd,-1.2466022467719802,-1.2067840466549895,0.28318162593719604
mem,resp,1685,0,mem2.3.1.bmp,mem3.1.1.bmp,mem2.3.1.bmp,ACC018,"[0, 3, -3]","[3, -3, -3]","[0, 3, -3]",match,1.3545027756320973,,-1.1824404909965807,-1.5509401731368733,-0.35488585638781717,1st,1st,2nd,-1.2466022467719802,-1.2067840466549895,-0.572612073051716
mem,resp,1089,0,mem1.3.1.bmp,mem3.2.2.bmp,mem1.3.1.bmp,ACC018,"[-3, 3, -3]","[3, 0, 0]","[-3, 3, -3]",match,1.2928932188134525,,-0.9719146651649554,-0.7528540551931227,-0.44766933138386433,1st,1st,2nd,-1.2466022467719802,-1.2067840466549895,-0.572612073051716
mem,resp,1841,1,mem2.1.3.bmp,mem3.2.3.bmp,mem1.3.3.bmp,ACC018,"[0, -3, 3]","[3, 0, 3]","[-3, 3, 3]",non-match,0.7090055512641944,2,1.740881976604663,-0.08514742199278831,-0.15503916885102464,4th,2nd,3rd,1.1950928974358983,-0.34067824578242084,0.28318162593719604
mem,resp,1694,0,mem3.1.3.bmp,mem1.1.1.bmp,mem1.2.1.bmp,ACC018,"[3, -3, 3]","[-3, -3, -3]","[-3, 0, -3]",non-match,0.8452994616207485,2,-1.2658621724370704,-0.6954218515673664,0.05929718374127339,1st,2nd,3rd,-1.2466022467719802,-0.34067824578242084,0.28318162593719604
mem,resp,808,1,mem3.1.1.bmp,mem2.1.1.bmp,mem2.1.1.bmp,ACC018,"[3, -3, -3]","[0, -3, -3]","[0, -3, -3]",match,1.7113248654051871,,0.37514033965584204,0.32619004262175066,0.12797848293970793,3rd,3rd,3rd,0.3603546607574523,0.3143212460621432,0.28318162593719604
mem,resp,1355,0,mem3.3.3.bmp,mem2.2.1.bmp,mem2.2.1.bmp,ACC018,"[3, 3, 3]","[0, 0, -3]","[0, 0, -3]",match,1.2928932188134525,,0.24337415763777148,-0.8790803028585562,0.43202958114818285,3rd,1st,3rd,0.3603546607574523,-1.2067840466549895,0.28318162593719604
mem,resp,717,0,mem3.1.2.bmp,mem1.3.3.bmp,mem2.1.2.bmp,ACC018,"[3, -3, 0]","[-3, 3, 3]","[0, -3, 0]",non-match,1.0042180842186395,3,-0.17160517241047957,-0.9341352337731477,0.7280849399232807,2nd,1st,3rd,-0.29199933511364107,-1.2067840466549895,0.28318162593719604
mem,resp,1236,1,mem1.3.2.bmp,mem3.2.2.bmp,mem1.1.1.bmp,ACC018,"[-3, 3, 0]","[3, 0, 0]","[-3, -3, -3]",non-match,0.6473959944455496,1,0.14790055767833762,-1.016263719533079,0.7359772715195171,3rd,1st,3rd,0.3603546607574523,-1.2067840466549895,0.28318162593719604
mem,resp,1565,1,mem3.3.1.bmp,mem2.3.1.bmp,mem3.3.1.bmp,ACC018,"[3, 3, -3]","[0, 3, -3]","[3, 3, -3]",match,1.7113248654051871,,-0.9707624027899681,-0.9678109890819135,0.9177207171669883,1st,1st,4th,-1.2466022467719802,-1.2067840466549895,1.4155611487153492
mem,resp,910,1,mem2.3.3.bmp,mem3.1.3.bmp,mem3.1.3.bmp,ACC018,"[0, 3, 3]","[3, -3, 3]","[3, -3, 3]",match,1.3545027756320973,,-1.9945147320466792,-1.0704414911746816,1.0588577273949507,1st,1st,4th,-1.2466022467719802,-1.2067840466549895,1.4155611487153492
