v_ams,v_C(condition)[T.1.0]:ams
0.00025810898189479784,-0.026667495139138162
-0.006019883225243929,-0.06599744456080495
0.0024608541833785196,0.08735202429894166
0.0008682955493970954,0.008908907921902236
0.014480214793382944,-0.024819514758596718
0.02149463514030758,0.00278353128386169
0.0191506814627106,-0.0567026098510645
0.03872429321029062,-0.03545767749457865
0.03705953095080444,-0.03431303038153925
0.027033697285804414,0.002654490963346523
0.02489422347633794,-0.0012714385315252194
0.009637821587385595,-0.028671936769698918
0.018400478457162518,-0.037737810787422256
0.0009051212845650469,-0.06585966809206788
-0.008381912359049544,-0.02413743537404986
-0.009659859429347294,-0.008711305125907974
0.01870247764609618,-0.004790074434063613
0.005799374732549472,0.04569283120725595
-0.015013151260724514,-0.02150166540836853
-0.026890481696600632,-0.009615983006892608
-0.02322591919263116,-0.015365243285484284
-0.006996721793425866,-0.07373590749309006
0.00242987130414674,0.05571407037571567
0.014622131228864852,-0.0324420079167809
0.007579040581657847,-0.05251375798916258
0.007502066507416369,-0.0006771002929391867
-0.014051459250060199,-0.0515455136121267
0.004474482997483769,-0.0901401397457155
0.025434814479799516,-0.03911174182299999
0.03463063343095451,-0.032260421120729604
0.014345477797405278,-0.05498553322674314
0.023956992331058656,-0.04159807166509065
0.03300864663857615,-0.041712083858077224
0.037716007927128016,-0.00851684784019505
0.07354276306456306,0.07300600529187624
0.043533692316237244,0.04814795688245551
0.04096805913730288,-0.028726034715559214
0.03481796835408116,-0.03239885931295107
0.034135680671465135,-0.12164658042299548
0.046227474413883654,-0.0393784407405728
0.00894379512371524,-0.04678596157791737
0.014863579322241083,-0.06606671872136469
0.0474526551436167,-0.04709619063540202
0.07057852603904015,-0.06227013474654611
0.037657218189531286,-0.06671256049734334
0.029227611395863495,-0.08303052324389358
0.005440571962940514,-0.08149191784918931
0.0014554307607280229,-0.01974626252755824
0.01992955209277907,-0.02208225034615179
0.01234853697206962,-0.0359077787996952
-0.006070230002589649,-0.0710179641062019
0.028269398787445808,0.004270532629862163
0.020819017363033952,-0.010825063057753641
0.0506420231733183,-0.05884182566474897
-0.012459867897719162,-0.03558795477018237
0.03685580626687073,0.0021129947830629547
0.033691566355022295,-0.028955128788385638
0.033540664815792466,-0.025549478680220433
0.0556223780210828,-0.043964515581429664
0.041108071927491316,-0.0015153917719807897
0.01835912977435521,-0.04962963698804201
-0.004403031435248112,-0.025772112900123788
0.0350289927022734,0.05972444861967058
0.004630334538325159,0.032571483276904595
-0.04900750954776448,-0.01815676952161241
-0.005418797400552403,-0.014883659213276581
-0.03191696597471274,-0.03517230222507603
0.02629181624509616,-0.031909641946329434
0.027032940444289753,0.05602407938018153
0.030379622258932412,-0.0714548870743466
0.03897131075064752,-0.24242295816524342
-0.0054612091669832,-0.21190256097673194
0.022504095808519455,-0.07915457022121801
-0.03880862665643184,-0.029394970192947307
0.036194666955331536,0.025405307928263357
0.02388835364579523,0.043120823253265814
0.00021252010439703345,0.044448496153392865
0.024601319495720735,0.02556606017159681
0.029937183400785126,-0.08743167517080341
0.04308346363741296,-0.11345450546551548
0.04146099052352678,-0.09827570856309772
0.06810721090882169,-0.060979073620610995
0.06136001051416837,-0.11239799431218049
0.062486402901456226,-0.1792522893649662
0.08738759578130498,-0.12057280147751387
0.04295208626588356,-0.19025582882981823
0.06941395446594281,-0.051449847605692614
0.030523240613980006,-0.05575173400408283
-0.027275634389895873,-0.008717351821037465
-0.03237036482370462,0.031958471663727096
-0.0027061449278774543,0.04091583175774961
0.01836063092045436,-0.023984321989357838
0.01070586436495183,-0.06360814082301636
0.04408905364989682,-0.09553560376600288
0.00835465224838795,-0.035464210648423124
0.031133201671620918,-0.016726335621766904
0.022827683044216483,-0.03600622076136147
0.030752448610620646,-0.05663966871414837
0.08257942329971006,0.01178328584530948
0.051744423876912755,0.010549469899726896
0.024513920738238073,-0.06077558921397038
0.04866481920255105,-0.03923140741342903
0.08440520006360852,-0.036472126941834646
0.06411469533368064,-0.15560865868769874
0.008651468764812875,-0.14271100448056373
0.030110702520673834,-0.1100968734927404
0.07875014689447046,-0.0452271138007552
0.04780107950915635,-0.06735962040161383
0.04780427396515412,-0.07629040596077893
0.046181825313072425,-0.0860395359393716
0.06290448709209086,-0.09045369167183605
0.06824007127759321,-0.09720059832291625
0.06292005278138019,-0.09287783182617154
0.07957297206200979,-0.06303359652385418
0.04438303361282679,-0.08617999210501034
0.07579513284938422,-0.09114233972234541
0.025087599482098055,-0.08404654372261817
0.049628833417714034,-0.07524851110694393
0.018834990763772694,-0.06607808368998254
0.01773418071464566,-0.04034541283668201
-0.023856969657861354,-0.11209389131046378
-0.015216071659881779,-0.10364063679586949
-0.059453759819116936,-0.034151896285528775
-0.010245258997216062,-0.08905306138896889
0.04988156850334805,-0.03454469652048242
0.04234484466988035,-0.08521931548879472
0.07167005841047151,-0.018955204897208255
0.058344440397930485,-0.05708143862381585
0.05652844971816757,-0.1082034867157497
0.027989766548244185,-0.07466522993036345
0.027864453921175786,-0.04975146832027667
0.053614381910080035,-0.007763935409543555
