mode,type,rt,acc,item_1,item_2,item_cue,subj_idx,item_1_number,item_2_number,item_cue_number,trial_type,summed_similarity,similarity_bin,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
mem,resp,665,0,mem2.3.1.bmp,mem3.1.1.bmp,mem2.2.1.bmp,ACC032,"[0, 3, -3]","[3, -3, -3]","[0, 0, -3]",non-match,1.3030765749413242,4,0.3763750898350152,0.15087143763559896,0.33456548407936626,3rd,3rd,3rd,0.38196285420259296,0.2632689248151961,0.39865763416347705
mem,resp,1077,1,mem1.2.1.bmp,mem3.1.2.bmp,mem3.1.2.bmp,ACC032,"[-3, 0, -3]","[3, -3, 0]","[3, -3, 0]",match,1.2928932188134525,,-2.947841852435216,-1.955126783897656,0.41903251567048794,1st,1st,3rd,-1.2922242102303447,-1.2348773975467622,0.39865763416347705
mem,resp,853,1,mem1.2.3.bmp,mem3.3.3.bmp,mem3.2.1.bmp,ACC032,"[-3, 0, 3]","[3, 3, 3]","[3, 0, -3]",non-match,0.5380061947043713,1,-1.0530294619876839,0.9832432987030111,0.08883095705490346,1st,4th,2nd,-1.2922242102303447,1.3241291147128196,0.014029642274415898
mem,resp,806,1,mem1.1.2.bmp,mem1.2.2.bmp,mem1.1.2.bmp,ACC032,"[-3, -3, 0]","[-3, 0, 0]","[-3, -3, 0]",match,1.7113248654051871,,-1.456510679482588,0.31107829515913155,0.4874619347067479,1st,3rd,3rd,-1.2922242102303447,0.2632689248151961,0.39865763416347705
mem,resp,882,1,mem3.2.2.bmp,mem1.3.2.bmp,mem1.3.2.bmp,ACC032,"[3, 0, 0]","[-3, 3, 0]","[-3, 3, 0]",match,1.3545027756320973,,-1.174643810064951,0.3655885896735986,0.1909355328604309,1st,3rd,2nd,-1.2922242102303447,0.2632689248151961,0.014029642274415898
mem,resp,873,1,mem2.1.2.bmp,mem1.1.3.bmp,mem3.1.1.bmp,ACC032,"[0, -3, 0]","[-3, -3, 3]","[3, -3, -3]",non-match,0.7752551286084112,2,-1.0511979640944733,1.4693855904253579,0.12405649997253554,1st,4th,2nd,-1.2922242102303447,1.3241291147128196,0.014029642274415898
mem,resp,739,1,mem2.2.3.bmp,mem2.3.3.bmp,mem3.1.3.bmp,ACC032,"[0, 0, 3]","[0, 3, 3]","[3, -3, 3]",non-match,0.9462544851682343,2,-1.1367568095690364,-0.7593954137960942,0.32455547383574096,1st,1st,3rd,-1.2922242102303447,-1.2348773975467622,0.39865763416347705
mem,resp,921,1,mem3.2.1.bmp,mem3.3.1.bmp,mem3.3.3.bmp,ACC032,"[3, 0, -3]","[3, 3, -3]","[3, 3, 3]",non-match,0.7771525064424715,2,-0.7768080510240607,1.8623212251398458,0.38018604840685166,1st,4th,3rd,-1.2922242102303447,1.3241291147128196,0.39865763416347705
mem,resp,987,1,mem2.1.1.bmp,mem1.2.1.bmp,mem2.2.2.bmp,ACC032,"[0, -3, -3]","[-3, 0, -3]","[0, 0, 0]",non-match,1.1835034190722742,4,0.5242032998736437,1.501857648343899,0.40146497556189314,3rd,4th,3rd,0.38196285420259296,1.3241291147128196,0.39865763416347705
mem,resp,812,1,mem2.3.2.bmp,mem1.3.3.bmp,mem1.3.3.bmp,ACC032,"[0, 3, 0]","[-3, 3, 3]","[-3, 3, 3]",match,1.591751709536137,,-1.259556667337879,1.1808623415854882,0.3845800216074835,1st,4th,3rd,-1.2922242102303447,1.3241291147128196,0.39865763416347705
mem,resp,626,1,mem1.3.2.bmp,mem3.1.3.bmp,mem3.1.3.bmp,ACC032,"[-3, 3, 0]","[3, -3, 3]","[3, -3, 3]",match,1.1339745962155614,,-0.7734170151344887,0.809626012863453,0.4325392765277247,1st,4th,3rd,-1.2922242102303447,1.3241291147128196,0.39865763416347705
mem,resp,929,0,mem3.1.2.bmp,mem2.1.3.bmp,mem3.2.2.bmp,ACC032,"[3, -3, 0]","[0, -3, 3]","[3, 0, 0]",non-match,1.2113248654051871,4,-1.0336066654911538,0.7119038516697512,0.16890160148701658,1st,4th,2nd,-1.2922242102303447,1.3241291147128196,0.014029642274415898
mem,resp,673,1,mem1.1.1.bmp,mem2.1.2.bmp,mem1.1.1.bmp,ACC032,"[-3, -3, -3]","[0, -3, 0]","[-3, -3, -3]",match,1.591751709536137,,0.40934127362821837,-1.6405134564868322,0.26218513559239115,3rd,1st,3rd,0.38196285420259296,-1.2348773975467622,0.39865763416347705
mem,resp,663,1,mem3.3.1.bmp,mem2.3.1.bmp,mem2.3.1.bmp,ACC032,"[3, 3, -3]","[0, 3, -3]","[0, 3, -3]",match,1.7113248654051871,,-0.8399062518807114,-1.1074666172446161,0.015810149711765066,1st,1st,2nd,-1.2922242102303447,-1.2348773975467622,0.014029642274415898
mem,resp,808,1,mem3.1.3.bmp,mem1.2.3.bmp,mem3.1.3.bmp,ACC032,"[3, -3, 3]","[-3, 0, 3]","[3, -3, 3]",match,1.3545027756320973,,-1.910191380923026,-0.1404383381544093,0.3568390497821705,1st,2nd,3rd,-1.2922242102303447,-0.35252064198125244,0.39865763416347705
mem,resp,642,1,mem3.3.3.bmp,mem3.3.2.bmp,mem2.3.3.bmp,ACC032,"[3, 3, 3]","[3, 3, 0]","[0, 3, 3]",non-match,1.3030765749413242,4,0.021652715352753232,1.3087917686032076,0.30923346472386354,3rd,4th,3rd,0.38196285420259296,1.3241291147128196,0.39865763416347705
mem,resp,583,1,mem2.1.3.bmp,mem2.2.1.bmp,mem1.3.3.bmp,ACC032,"[0, -3, 3]","[0, 0, -3]","[-3, 3, 3]",non-match,0.6473959944455496,1,1.365843935902307,1.0280846057531867,0.18370195491500554,4th,4th,2nd,1.2695922936308957,1.3241291147128196,0.014029642274415898
mem,resp,828,1,mem3.2.3.bmp,mem1.1.2.bmp,mem3.1.2.bmp,ACC032,"[3, 0, 3]","[-3, -3, 0]","[3, -3, 0]",non-match,1.0144014403465114,3,-1.4333422237117537,1.233364046169018,0.19274179554270654,1st,4th,2nd,-1.2922242102303447,1.3241291147128196,0.014029642274415898
mem,resp,570,1,mem3.1.1.bmp,mem2.1.1.bmp,mem2.1.1.bmp,ACC032,"[3, -3, -3]","[0, -3, -3]","[0, -3, -3]",match,1.7113248654051871,,-1.386896670305816,0.06181433946711988,-0.017697706945559503,1st,3rd,2nd,-1.2922242102303447,0.2632689248151961,0.014029642274415898
mem,resp,613,1,mem1.3.1.bmp,mem3.3.2.bmp,mem3.1.3.bmp,ACC032,"[-3, 3, -3]","[3, 3, 0]","[3, -3, 3]",non-match,0.3545027756320972,1,-1.7364119110621465,-1.438089976721157,0.07304944797583666,1st,1st,2nd,-1.2922242102303447,-1.2348773975467622,0.014029642274415898
mem,resp,593,1,mem2.2.1.bmp,mem2.3.1.bmp,mem3.2.1.bmp,ACC032,"[0, 0, -3]","[0, 3, -3]","[3, 0, -3]",non-match,1.3030765749413242,4,-0.1005054285285725,1.2143825850058059,0.04041979188555143,2nd,4th,2nd,-0.3593309376031439,1.3241291147128196,0.014029642274415898
