mode,type,rt,acc,item_1,item_2,item_cue,subj_idx,item_1_number,item_2_number,item_cue_number,trial_type,summed_similarity,similarity_bin,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
mem,resp,1282,0,mem1.1.3.bmp,mem2.2.2.bmp,mem2.2.2.bmp,ACC023,"[-3, -3, 3]","[0, 0, 0]","[0, 0, 0]",match,1.5,,0.3708539213106747,-0.10235246612011417,2.14777870977028,3rd,2nd,4th,0.2814812163593199,-0.345444972785282,1.2456630467749445
mem,resp,1534,1,mem2.1.2.bmp,mem1.2.1.bmp,mem3.3.1.bmp,ACC023,"[0, -3, 0]","[-3, 0, -3]","[3, 3, -3]",non-match,0.6473959944455496,1,0.17191231004863158,0.6167129764667902,1.9300006913251824,3rd,3rd,4th,0.2814812163593199,0.33485573526849355,1.2456630467749445
mem,resp,1352,1,mem3.2.2.bmp,mem1.1.1.bmp,mem1.1.1.bmp,ACC023,"[3, 0, 0]","[-3, -3, -3]","[-3, -3, -3]",match,1.2928932188134525,,0.14898496431982586,0.8876181359576963,1.8970537404367505,3rd,4th,4th,0.2814812163593199,1.2619930643557389,1.2456630467749445
mem,resp,1886,0,mem3.3.2.bmp,mem2.2.3.bmp,mem2.3.1.bmp,ACC023,"[3, 3, 0]","[0, 0, 3]","[0, 3, -3]",non-match,0.9462544851682343,3,-1.556947036426485,-0.37637858824374876,1.7697034846596136,1st,2nd,4th,-1.1857962694998232,-0.345444972785282,1.2456630467749445
mem,resp,1438,0,mem1.2.2.bmp,mem2.3.2.bmp,mem1.3.1.bmp,ACC023,"[-3, 0, 0]","[0, 3, 0]","[-3, 3, -3]",non-match,1.1835034190722742,4,-0.4024205529266115,1.3379199586339234,1.7414926625954257,2nd,4th,4th,-0.4181283601389357,1.2619930643557389,1.2456630467749445
mem,resp,2012,0,mem3.2.3.bmp,mem2.1.1.bmp,mem2.2.2.bmp,ACC023,"[3, 0, 3]","[0, -3, -3]","[0, 0, 0]",non-match,1.1835034190722742,4,0.9020412564397399,-0.1321571018809783,1.535042994910661,4th,2nd,4th,1.326247213500511,-0.345444972785282,1.2456630467749445
mem,resp,1523,0,mem3.3.3.bmp,mem3.2.1.bmp,mem3.1.2.bmp,ACC023,"[3, 3, 3]","[3, 0, -3]","[3, -3, 0]",non-match,0.9462544851682343,3,-0.7503741856133332,-1.3121834069426175,1.6986748847644375,2nd,1st,4th,-0.4181283601389357,-1.246878749335321,1.2456630467749445
mem,resp,1495,0,mem1.3.2.bmp,mem2.3.1.bmp,mem2.3.3.bmp,ACC023,"[-3, 3, 0]","[0, 3, -3]","[0, 3, 3]",non-match,1.0144014403465114,3,-0.9433537429159846,-0.04138407175553733,1.7758921523767968,1st,2nd,4th,-1.1857962694998232,-0.345444972785282,1.2456630467749445
mem,resp,1694,1,mem1.1.2.bmp,mem3.1.3.bmp,mem1.1.2.bmp,ACC023,"[-3, -3, 0]","[3, -3, 3]","[-3, -3, 0]",match,1.3545027756320973,,-0.558166482943488,0.09250931080322153,1.6708221540302313,2nd,3rd,4th,-0.4181283601389357,0.33485573526849355,1.2456630467749445
mem,resp,1506,1,mem3.1.2.bmp,mem3.1.1.bmp,mem3.3.1.bmp,ACC023,"[3, -3, 0]","[3, -3, -3]","[3, 3, -3]",non-match,0.7771525064424715,2,-0.30316866503823603,0.37026353206761375,1.5221561198721087,2nd,3rd,4th,-0.4181283601389357,0.33485573526849355,1.2456630467749445
