mode,type,rt,acc,item_1,item_2,item_cue,subj_idx,item_1_number,item_2_number,item_cue_number,trial_type,summed_similarity,similarity_bin,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
mem,resp,808,1,mem1.1.3.bmp,mem1.1.1.bmp,mem1.3.3.bmp,ACC028,"[-3, -3, 3]","[-3, -3, -3]","[-3, 3, 3]",non-match,0.6061531498826483,1,-0.1976983587007822,-1.1891738752636958,-0.03782936376024442,2nd,1st,2nd,-0.2911723378696163,-1.1846955799739554,-0.3654042884091494
mem,resp,823,1,mem2.3.3.bmp,mem1.3.1.bmp,mem3.1.3.bmp,ACC028,"[0, 3, 3]","[-3, 3, -3]","[3, -3, 3]",non-match,0.3545027756320972,1,0.014962173466451302,0.6453282127214323,-0.3619283854707889,3rd,4th,2nd,0.2704410385133673,1.3039750494955062,-0.3654042884091494
mem,resp,651,1,mem2.1.2.bmp,mem2.2.2.bmp,mem1.2.1.bmp,ACC028,"[0, -3, 0]","[0, 0, 0]","[-3, 0, -3]",non-match,1.091751709536137,4,-0.2744624816766408,0.2449324706172542,0.02126587447941656,2nd,3rd,2nd,-0.2911723378696163,0.2528397677227245,-0.3654042884091494
mem,resp,666,1,mem2.3.2.bmp,mem2.2.1.bmp,mem1.2.3.bmp,ACC028,"[0, 3, 0]","[0, 0, -3]","[-3, 0, 3]",non-match,0.8545027756320972,2,0.6590617091054258,0.3020319507451488,0.36673177448523053,4th,3rd,3rd,1.3051260276041958,0.2528397677227245,0.37232018430069913
mem,resp,1067,0,mem3.3.2.bmp,mem1.3.3.bmp,mem3.2.1.bmp,ACC028,"[3, 3, 0]","[-3, 3, 3]","[3, 0, -3]",non-match,0.7257263057516985,2,0.14534743812987616,-0.46299704458383395,0.6126753918816729,3rd,2nd,3rd,0.2704410385133673,-0.3688356038972274,0.37232018430069913
mem,resp,783,1,mem1.2.2.bmp,mem3.3.1.bmp,mem2.1.3.bmp,ACC028,"[-3, 0, 0]","[3, 3, -3]","[0, -3, 3]",non-match,0.6339745962155614,1,-0.8176613206540659,-0.1883286135282038,0.593272314190019,1st,2nd,3rd,-1.2808825069685528,-0.3688356038972274,0.37232018430069913
mem,resp,778,1,mem1.1.1.bmp,mem3.1.2.bmp,mem3.1.2.bmp,ACC028,"[-3, -3, -3]","[3, -3, 0]","[3, -3, 0]",match,1.3545027756320973,,0.28354434292728764,0.9207590851343176,0.929031066231385,3rd,4th,4th,0.2704410385133673,1.3039750494955062,1.28442901989045
mem,resp,1460,1,mem1.3.1.bmp,mem2.2.3.bmp,mem2.2.2.bmp,ACC028,"[-3, 3, -3]","[0, 0, 3]","[0, 0, 0]",non-match,1.2113248654051871,4,-0.7566330846351782,0.44341331012165774,1.1059731632316738,1st,3rd,4th,-1.2808825069685528,0.2528397677227245,1.28442901989045
mem,resp,727,1,mem3.2.3.bmp,mem1.2.3.bmp,mem1.2.3.bmp,ACC028,"[3, 0, 3]","[-3, 0, 3]","[-3, 0, 3]",match,1.4226497308103743,,-1.7894041299272574,-0.6165628409347985,0.89776659890662,1st,2nd,4th,-1.2808825069685528,-0.3688356038972274,1.28442901989045
mem,resp,1226,1,mem2.1.3.bmp,mem3.2.2.bmp,mem2.1.3.bmp,ACC028,"[0, -3, 3]","[3, 0, 0]","[0, -3, 3]",match,1.5,,-0.11152628279349303,0.020361055834890663,1.199793458035915,2nd,3rd,4th,-0.2911723378696163,0.2528397677227245,1.28442901989045
