subj_idx,difficulty,rt,response,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
sub17,e28,1047,1.0,0.6711200101631574,-0.009130722267571985,1.1030351278671309,4th,3rd,4th,1.2849094139699115,0.30182739612657544,1.2543640220169991
sub17,e5,1393,2.0,-0.28900754906939236,-0.17060488691424727,1.0131534536041835,2nd,2nd,4th,-0.3016170824064051,-0.36186270249936087,1.2543640220169991
sub17,e20,1354,1.0,-1.1764094651628316,0.0344509449007962,1.2443433111810522,1st,3rd,4th,-1.2648309832084803,0.30182739612657544,1.2543640220169991
sub17,e2,1347,2.0,-1.7944203910507361,0.4703061632585016,1.3829889996449634,1st,3rd,4th,-1.2648309832084803,0.30182739612657544,1.2543640220169991
sub17,e13,939,1.0,-0.5572308244312956,0.8275385383524394,1.610571535603456,2nd,4th,4th,-0.3016170824064051,1.3072959224220244,1.2543640220169991
sub17,e22,1110,2.0,0.6692062307825285,-1.3367798591047617,1.6795429164408329,4th,1st,4th,1.2849094139699115,-1.2291843752369316,1.2543640220169991
sub17,e11,988,2.0,0.9073540826039995,-0.2815394541167625,1.682665654043092,4th,2nd,4th,1.2849094139699115,-0.36186270249936087,1.2543640220169991
sub17,e21,1192,1.0,-1.0226128479250565,0.7156188326772016,1.446484565104735,1st,4th,4th,-1.2648309832084803,1.3072959224220244,1.2543640220169991
sub17,e18,713,2.0,0.48509848205540856,1.6174061042045542,1.3076689238106367,3rd,4th,4th,0.300139107280393,1.3072959224220244,1.2543640220169991
sub17,e7,816,1.0,-0.15794355583311265,-0.4752305608273322,1.3590116136139674,2nd,2nd,4th,-0.3016170824064051,-0.36186270249936087,1.2543640220169991
sub17,e24,1134,1.0,0.27465703319934964,0.18594888267440163,1.319355345024984,3rd,3rd,4th,0.300139107280393,0.30182739612657544,1.2543640220169991
sub17,e12,1551,1.0,1.3076725614484401,0.19480930091718376,1.4248273731362595,4th,3rd,4th,1.2849094139699115,0.30182739612657544,1.2543640220169991
sub17,e22,664,2.0,1.2157757426549012,1.6240299973874157,1.3869488453510075,4th,4th,4th,1.2849094139699115,1.3072959224220244,1.2543640220169991
sub17,e1,719,2.0,-0.8389565694592254,-0.6488377256676394,1.3519140547242918,1st,1st,4th,-1.2648309832084803,-1.2291843752369316,1.2543640220169991
sub17,e15,710,2.0,2.4555123591746315,0.18576688511535164,1.5652521694916146,4th,3rd,4th,1.2849094139699115,0.30182739612657544,1.2543640220169991
sub17,e9,606,2.0,1.92923387769277,0.08488952347510159,1.539900528356491,4th,3rd,4th,1.2849094139699115,0.30182739612657544,1.2543640220169991
sub17,e26,1077,1.0,1.0207107288092543,1.5511215707403585,1.5713933367821604,4th,4th,4th,1.2849094139699115,1.3072959224220244,1.2543640220169991
sub17,e3,970,1.0,0.6743043475370393,1.5623099218058651,1.890587758650803,4th,4th,4th,1.2849094139699115,1.3072959224220244,1.2543640220169991
sub17,e17,726,2.0,0.5302537071532518,2.2548382403623166,1.834598817377763,3rd,4th,4th,0.300139107280393,1.3072959224220244,1.2543640220169991
sub17,e9,596,2.0,0.2565726132822356,0.7259738803122269,1.6676219137819888,3rd,4th,4th,0.300139107280393,1.3072959224220244,1.2543640220169991
sub17,e18,927,2.0,-1.0369188593105807,-0.12947425653551148,1.7448907426767168,1st,2nd,4th,-1.2648309832084803,-0.36186270249936087,1.2543640220169991
sub17,e3,1474,2.0,-2.1509422957648567,-1.6825875131643404,1.2831073386749754,1st,1st,4th,-1.2648309832084803,-1.2291843752369316,1.2543640220169991
sub17,e21,1295,1.0,0.536830223187598,-0.7097925935346227,1.2894674019827503,3rd,1st,4th,0.300139107280393,-1.2291843752369316,1.2543640220169991
sub17,e23,829,2.0,0.46064219913240073,-0.260682227112177,1.4984772519193466,3rd,2nd,4th,0.300139107280393,-0.36186270249936087,1.2543640220169991
sub18,e4,1491,1.0,-0.7022040999023595,0.4271269993942714,-0.14257020226019368,2nd,3rd,3rd,-0.3825521192548136,0.2359341736890816,0.06393262245667038
sub18,e8,581,2.0,-1.1935914926597326,-0.48739315878793343,-0.4479279201813449,1st,2nd,2nd,-1.231028613391269,-0.36144517502621715,-0.42876735118942977
sub18,e23,837,2.0,-1.4601554425921477,-1.3761638795457523,-0.38940025427249503,1st,1st,2nd,-1.231028613391269,-1.1593922229824547,-0.42876735118942977
sub18,e9,1541,2.0,0.12478893706479864,-1.727211332575989,-0.5041515024554084,3rd,1st,2nd,0.3223333805056325,-1.1593922229824547,-0.42876735118942977
sub18,e28,480,1.0,1.1874432803931119,-0.7492656641330638,-0.35068105264107485,4th,1st,2nd,1.2903617824529623,-1.1593922229824547,-0.42876735118942977
sub18,e2,881,2.0,0.5124276850307311,-0.6246210557747098,-0.1792521213597538,3rd,2nd,3rd,0.3223333805056325,-0.36144517502621715,0.06393262245667038
sub18,e1,732,2.0,0.3128810430987959,-0.6299537052098773,-0.3818149276209228,3rd,2nd,2nd,0.3223333805056325,-0.36144517502621715,-0.42876735118942977
sub18,e9,1060,2.0,0.3323607702069752,-0.3230580322764102,-0.47509497918570615,3rd,2nd,2nd,0.3223333805056325,-0.36144517502621715,-0.42876735118942977
sub18,e3,734,1.0,0.5658552590980582,-0.9325111731034408,-0.5663912970626481,3rd,1st,2nd,0.3223333805056325,-1.1593922229824547,-0.42876735118942977
sub18,e17,742,1.0,0.0738204699385106,0.464628976591939,-0.6511126910606644,3rd,3rd,2nd,0.3223333805056325,0.2359341736890816,-0.42876735118942977
sub18,e27,788,2.0,-0.386969587031842,-0.6870829896922108,-0.7438734996070073,2nd,1st,1st,-0.3825521192548136,-1.1593922229824547,-0.9936897969991797
sub18,e19,1393,2.0,-2.3359363975385916,0.07369928337334423,-0.7738610344838683,1st,3rd,1st,-1.231028613391269,0.2359341736890816,-0.9936897969991797
sub18,e26,1262,1.0,-0.43203981510414424,-0.11300447475817076,-0.6741824674714882,2nd,2nd,1st,-0.3825521192548136,-0.36144517502621715,-0.9936897969991797
sub18,e14,586,1.0,-0.319020249578649,-0.9778873888457318,-0.6943319649707751,2nd,1st,1st,-0.3825521192548136,-1.1593922229824547,-0.9936897969991797
sub18,e8,596,2.0,-0.7584489909587377,1.4517948941474508,-0.9187729455109387,2nd,4th,1st,-0.3825521192548136,1.2830574742999268,-0.9936897969991797
