model,loo,p_loo
v_ams,-28246.881374782613,25469.67412061143
v_pams,,
v_slps,-26972.220189292042,24184.428441344884
v_ams_bin,-27485.142630243536,24698.97774380486
v_pam_bin,,
v_slp_bin,-26910.845169957873,24122.7458583314
