,v_ams_bin
0,0.01628164070882144
1,0.05042277715274413
2,0.07711408961831413
3,-0.012256298833109022
4,0.04825346496308289
5,0.016884994092245035
6,-0.009141135053632322
7,0.05617608951934928
8,0.10025074122244236
9,0.04751515924279778
10,0.046585459023773514
11,0.08824826691232654
12,0.09731086085562286
13,0.1078037594592503
14,0.12104105842058616
15,0.11714165380750169
16,0.05096305908281989
17,0.1704769382228879
18,0.14960442778459418
19,0.10510903710628505
20,0.0904918799440187
21,0.14421749663383812
22,0.17577493221729287
23,0.2046407928801949
24,0.22754516102042174
25,0.0873003952109543
26,0.07595228532763781
27,0.060909092016108536
28,0.0367394362861164
29,0.03675636304789026
30,0.041698395948135555
31,-0.009423487904715611
32,0.011532855825626456
33,0.06532977477245856
34,0.04207874012765455
35,-0.018093465062443085
36,-0.019073434395347286
37,0.03571030016240996
38,-0.0003729582647837293
39,0.026463929987383138
40,0.08656364353092653
41,0.048749332163215676
42,0.12766761177067584
43,0.004753600099944674
44,0.09773582409992564
45,0.0044841432562054626
46,0.11078974039436998
47,0.10044906859173662
48,0.05920823407883665
49,-0.0564799387614479
50,0.03332865811304314
51,-0.009988238764165068
52,0.10245695983824014
53,0.02925061409268892
54,0.024988331991264427
55,0.09307245558671096
56,0.02913365973485453
57,0.006227594836443508
58,-0.02065360215488074
59,0.06546360587722323
60,0.03805792825661446
61,0.14027527822531202
62,0.11665572304921662
63,0.054072390448541494
64,0.0755953517950911
65,0.12439916970176618
66,0.15616300433170183
67,0.15271336152730125
68,0.10257622524132493
69,0.059180897536257264
70,0.11548273844907601
71,0.1518416200807898
72,0.1584961780953915
73,0.13604371540731225
74,0.10891302330251025
75,0.07570066229509728
76,0.1328563189649828
77,0.14692351696823222
78,0.1240777746963233
79,0.08032979557949786
80,0.12068310563286355
81,0.06209770880559809
82,-0.014343625831052635
83,0.06575492429647582
84,0.08192493225408558
85,0.11099151317690992
86,0.22033325285526356
87,0.16246412692432133
88,0.0649270205732601
89,0.004115826585823393
90,0.004550301690409181
91,0.024000400905533986
92,0.03715194875562516
93,0.10596526212997343
94,0.0648694174761513
95,0.0865899088614563
96,0.0737238850349245
97,0.0071133528703411705
98,0.024682540949027085
99,0.06937364584053261
100,0.03676191582648013
101,0.0626678338238819
102,0.058895380197458505
103,0.06402760844728897
104,0.051536105060618495
105,0.05754345514676952
106,0.0007029085658759732
107,0.06137500755763096
108,0.03185531230293338
109,0.03343254973439962
110,0.02737863166742528
111,-0.0016492335642637815
112,-0.002479009951423635
113,-0.010577752251656743
114,0.016847389588117052
115,-0.0298072425306905
116,0.004976193238030767
117,-0.0022463538267075683
118,0.04097922643239883
119,0.043903842440340804
120,0.019509839566596382
121,0.03405505808231316
122,0.06644532772689171
123,0.036199869480790424
124,0.18534219669468177
125,0.06510381667240747
126,0.0758874707849438
127,0.09128182453995264
128,0.05784996713324778
129,0.020048694248461247
130,0.009389501488843842
131,0.029492953023620455
132,0.033474241668294845
133,0.004750937827525942
134,0.07950024164070603
135,-0.005366293543537154
136,0.02008088535198413
137,0.013429001371845859
