,v_ams
0,-0.04581822282119253
1,0.023629344867677732
2,-0.026539560901922055
3,-0.012153814889470163
4,-0.016682579598346573
5,-0.017133707044526162
6,-0.02617973016155222
7,-0.035422116034804024
8,0.1015416237895411
9,-0.00033957189878991434
10,0.021061400167185898
11,-0.004289847407569452
12,-0.019740837198426224
13,-0.048987203538687234
14,-0.030287910986944583
15,0.06564231925687679
16,-0.045838092217485776
17,-0.02535314181349997
18,0.06547583876215607
19,0.06654035576221488
20,0.02773176508787066
21,0.036872396597204815
22,0.12326376910957881
23,0.06268345803773387
24,0.10229514795610857
25,0.011869328082717429
26,0.02401602366573155
27,-0.003364851045331581
28,0.03831029003006993
29,0.051988834161879986
30,-0.0035644749246081645
31,-0.050525647598147025
32,-0.026959564765958965
33,0.006963427359400939
34,-0.017267716568033567
35,-0.04718004049874208
36,-0.01574420693443912
37,0.01071817129339808
38,0.044312659540617194
39,0.0333565724408655
40,0.015424324480570508
41,-0.004955610738569627
42,-0.030171217261319584
43,-0.0549549944852812
44,0.010461702747674065
45,-0.024785796154875583
46,-0.012596113705222765
47,0.03527151344413033
48,-0.027219308495022174
49,-0.029280297682077364
50,0.06942626387787175
51,-0.014427350593799992
52,-0.06674129481724257
53,-0.06381366257870458
54,-0.04294156674068999
55,-0.08546947293442843
56,-0.036793777211678196
57,0.005839147453255651
58,0.010256356599328838
59,-0.026757898424700513
60,0.010238528737654946
61,0.025360992511548077
62,0.08096364336454555
63,0.010372693196907654
64,0.05854135994550863
65,-0.03731564950225073
66,0.023830620226492922
67,-0.014738393998566374
68,-0.02232208165088028
69,-0.046095883182241296
70,-0.04482227302177767
71,-0.08630122776874154
72,0.008286753015529405
73,-0.032461960182572
74,-0.029045857201860183
75,-0.020981952055151402
76,0.01819430620112621
77,0.06261869463214688
78,0.032381243172257004
79,0.07642286479136035
80,-0.033403340504537256
81,0.05378178730397333
82,0.03509404152592608
83,0.08227511107387668
84,0.11507207437663944
85,-0.019204861876489832
86,0.1334885341253499
87,0.1673071586736138
88,0.09172244395872202
89,0.08089775250374998
90,-0.03442227760666512
91,-0.008396904475132857
92,0.035307805277235794
93,0.013588218002124987
94,0.08673362640470925
95,0.09140459708330999
