,v_slp_bin
0,-0.011542954782584977
1,0.020676538874163937
2,0.06675071324498529
3,0.0912905875693841
4,0.10115286828229617
5,0.012484476384953709
6,0.03826365499225657
7,-0.01493475279705298
8,0.016858033589087416
9,0.0517759122601041
10,0.055550464881246944
11,0.057500048234856625
12,0.07646116238907281
13,0.0676043518964532
14,0.08247836462615658
15,0.0664574319218788
16,0.052305708471338336
17,0.033621075059950885
18,0.023978069912125928
19,0.017539753845191835
20,0.027179125499656284
21,0.035092935184119975
22,0.003082332610340889
23,0.00710371127134487
24,0.010288767332767172
25,0.017084968108723186
26,0.043106542594225056
27,0.07786338927296033
28,0.06029003943327565
29,0.04432137370740927
30,0.03654406226615856
31,0.06026553213194455
32,0.06954847800565432
33,0.05524370461783985
34,0.010826527911701887
35,-0.011054388427784508
36,-0.012284366492095087
37,-0.012796352921732762
38,0.009442421808282466
39,-0.0028274893368621205
40,0.01329428220510091
41,0.03275827897388522
42,0.05870860060685031
43,0.06326008009645093
44,0.06532235044895215
45,0.05832287567453311
46,0.03138281383383616
47,0.04125201289704474
48,0.02722040558190831
49,0.037749518439371875
50,0.07222739205405013
51,0.10008159660130218
52,0.054789222689740125
53,0.06567347771022562
54,0.05805167521461252
55,0.04657297585954104
56,-0.0006053618506651898
57,-0.015736147943203365
58,0.02360875343744713
59,0.01651780981206858
60,0.04008942780695831
61,0.003209039420401112
62,0.04953185001934636
63,0.005323989731853246
64,0.036458595828887864
65,0.08082031819941243
66,0.09437184176399505
67,0.09179512821023765
68,0.09313747605749512
69,0.09618413890332123
70,0.12199039125626612
71,0.12765902650230251
72,0.08697081739594786
73,0.059010160823706456
74,0.011170445452820449
75,0.08906359119851685
76,0.12459329881466383
77,0.056555192159658166
78,0.14364187958545896
79,0.053845794092059786
80,0.04276093723451943
81,0.03448613308086185
82,0.052082191621464234
83,0.027517601394918538
84,0.04627393594594039
85,0.03781569657575619
86,0.05071648732723024
87,0.06446518548825865
88,0.00949417108069664
89,0.06574057580872526
90,0.07819839137539253
91,0.09520647681844088
92,0.13305589036675539
93,0.12896178647564827
94,0.10076527775247715
95,0.035760481300257996
96,0.03819247614087452
97,0.046770179760051114
98,0.024018075231031825
