v_pams,v_C(condition)[T.2.0]:pams,v_C(condition)[T.3.0]:pams,v_C(condition)[T.4.0]:pams
0.2569649613574301,-0.15150009614610008,-0.222464119939335,-0.5340768739115542
0.33660941461694077,-0.15554976157471245,-0.21557250446561096,-0.3315951481589559
0.3592429415885856,-0.13562212123180448,-0.23033265656861135,-0.32842387564814335
0.2926102135017008,-0.16000982443671644,-0.2689932661680149,-0.5002446246170152
0.2860278862352896,-0.14203126816082998,-0.24753520985167224,-0.4853345349616195
0.28315875068524127,-0.15448168856280325,-0.22051301770387643,-0.41667331866152907
0.2868792730826559,-0.16932001733040875,-0.20192670737339874,-0.4314307325903045
0.28036469402658615,-0.20349800431431336,-0.2028634707241299,-0.4842787985549737
0.27316219991027585,-0.18023613385821152,-0.19858621117872152,-0.33590653336941184
0.2615216479748726,-0.12259128360764382,-0.2427039730909612,-0.2988819514173503
0.2870051554336869,-0.1499410991016179,-0.22825083313424224,-0.4999680975403189
0.31745281225229693,-0.14122722840206509,-0.20440543018128862,-0.4125006596030401
0.297766795970598,-0.16344001161203947,-0.20313621696470982,-0.38093642794359517
0.26958880474125246,-0.13745174725278808,-0.2175697577843683,-0.2997395895071614
0.33823724756439133,-0.08884865857628324,-0.2219094881583855,-0.42751649514609663
0.32326238465675045,-0.05697632475680747,-0.24051508299729576,-0.43286002399954865
0.2801409491932048,-0.05861117566731798,-0.2876267785473722,-0.4256741424098547
0.2901740032029898,-0.058788972980817186,-0.28504300808346217,-0.31162834880217494
0.2670813650637782,-0.03721244388777448,-0.29306048137255386,-0.4027190895434903
0.29786949442455724,0.024609465717195383,-0.2931360576498391,-0.17524308755075754
0.32498907574140934,-0.012927360552185465,-0.2839639707740418,-0.43966806720447116
0.3354611181328692,-0.032438049844961805,-0.31669403599676116,-0.5070936216498129
0.3155965642391579,-0.12104267541495073,-0.3241018728781148,-0.4681972743316541
0.3607056701696406,-0.13252550476219938,-0.3472016904162306,-0.44202118441974175
0.3004566120743775,-0.11896259414005653,-0.31341498425163844,-0.640216222265156
0.4017746064438121,-0.166817580103096,-0.32633541691413737,-0.5061960201589123
0.3872336256460652,-0.21294905775566536,-0.33408340109056234,-0.6489292048721612
