v_slps,v_C(condition)[T.2.0]:slps,v_C(condition)[T.3.0]:slps,v_C(condition)[T.4.0]:slps
-0.12592663886701042,0.05937803019553749,0.024910494900670453,0.21209874071941406
-0.15908961184080636,0.10296280575285964,0.04050671364443376,0.22707723367367083
-0.13212504458646107,0.09962420509858058,0.09304001642477054,0.19977817032117853
-0.1915441732737047,0.0805977364222788,0.0394196667915505,0.1936699794028094
-0.2016825216784011,0.07817245370386156,0.061116848594518505,0.15455203920545546
-0.18316759424907364,0.11224999400777892,0.06195855177795357,0.12082399837961913
-0.1746937864559186,0.0889260571551215,0.08782828824343207,0.14985768387885334
-0.17010321171048334,0.051021332984833766,0.1072129875059404,0.12048977850890141
-0.18920026104092702,0.05166857746244077,0.09105093809745586,0.09995671725374985
-0.18869898015531136,0.0542623598247072,0.02177984190212743,0.09499177203783335
-0.19913561278745914,0.10724596888489954,0.025336908602715105,0.15097608345890356
-0.19332601482565814,0.19143345874308462,0.052136770161335305,0.17586186171614748
-0.19605172554241823,0.16663368352224867,0.025985031183064264,0.1459976203039961
-0.18536467072665339,0.03002833586875124,0.039622349479948825,0.14150936609322168
-0.18153370683781883,0.021374578087992088,0.11628144444698797,0.03216638864351405
-0.17311710411176737,0.07212222578466511,0.10333274502694845,0.08851777574658626
-0.15682105719262923,0.104612795706503,0.11399558429654799,0.027323711638404614
-0.14874549302144757,0.1404004322994493,0.11951346050510384,0.05472856866300464
-0.1329043496426158,0.05574938032272514,0.1650005386766317,0.011388848095202173
-0.1383741333962401,-0.04605330020308845,0.13895735652615046,0.03236972179915929
-0.1239598598089126,-0.19159967711306494,0.11668247452939222,0.052557956515036884
-0.10501802506071595,-0.037527533809353475,0.1139026998074269,0.0950674356863443
-0.12823301584285438,-0.11754366990256873,0.09011733276316311,0.10761327308061418
-0.11613751311813225,-0.016202833493871905,0.09410364558068662,0.10879129176065276
-0.12908227901320954,0.13290920952950985,0.13555346768595092,0.07684255853758182
-0.11838586057957404,0.10160781814059786,0.07464044645187719,0.049552594981676516
-0.11356848776015802,-0.014248461959473283,0.06211252713160972,0.07745956286590452
-0.12428031471757399,0.02169814733571389,0.04207539121723628,0.04571074737396748
-0.12692671712983764,0.15778948775140855,0.11658871406656157,0.038761214931572974
-0.13408636493687104,0.11874031899808261,0.12462111407671116,0.08215928151059218
-0.13140876519350023,0.14123418026198184,0.1119976666578076,0.040914395897295945
-0.14680001213737737,0.10768147663543215,0.1295515365239089,0.03350197922182688
-0.13746292659766352,0.14692936747467353,0.1614612778563222,0.07932123322939634
-0.10349848727913927,0.13682362915897056,0.16899465421292606,0.13918070597553345
-0.15078680719901968,0.14050406067133214,0.06773913501183183,0.1152505709341207
-0.10510249150327765,0.16308157933295384,0.16314377564132604,0.15602259506365654
-0.1116029643908624,0.1373611883622673,0.13487552559904922,0.19802109185672762
-0.13688555542597863,0.16250749201529613,0.22389809263768773,0.14444791011817665
-0.11765642776374348,0.15672071313955913,0.1744916272486861,0.06147585113889166
-0.11934411586766423,0.1580879622486592,0.158560117018216,0.14875489866070146
