subj_idx,condition,rt,response,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
sub-01,0.0,0.5571792,a,-0.5689112676706048,-1.3263164988500633,-0.47998090961139955,1st,1st,2nd,-1.217328000755635,-1.2252449397856893,-0.35416151287153147
sub-01,1.0,0.5215154,a,-1.6000429650789956,-0.6337447712386862,-0.5753561720453607,1st,2nd,2nd,-1.217328000755635,-0.31505262770891257,-0.35416151287153147
sub-01,0.0,0.4338575,a,-0.7678901406599961,0.3768881909180885,-0.7739476468129596,1st,3rd,1st,-1.217328000755635,0.3160291409600362,-1.2514744014158337
sub-01,0.0,0.4938656,a,-0.00011220966333354517,-0.36976421838438644,-1.190729704608543,2nd,2nd,1st,-0.22437542619312592,-0.31505262770891257,-1.2514744014158337
sub-01,0.0,0.351543,a,0.11729554768128796,-0.242670160409009,-1.1438663515447145,3rd,2nd,1st,0.2841648903710896,-0.31505262770891257,-1.2514744014158337
sub-01,1.0,0.4805452,f,-2.7968535201930065,-0.721744375433275,-1.3285863695846545,1st,1st,1st,-1.217328000755635,-1.2252449397856893,-1.2514744014158337
sub-01,0.0,0.4088824,f,0.130503994268945,-1.7696001606234222,-1.0921830672244288,3rd,1st,1st,0.2841648903710896,-1.2252449397856893,-1.2514744014158337
sub-01,0.0,0.4709135,a,-1.6400812001875933,-0.2299772578804243,-1.0195961043071156,1st,2nd,1st,-1.217328000755635,-0.31505262770891257,-1.2514744014158337
sub-01,0.0,0.4519875,a,-1.540555817488336,-0.6551539564756985,-1.027799492072682,1st,1st,1st,-1.217328000755635,-1.2252449397856893,-1.2514744014158337
sub-01,1.0,0.335645,f,-0.8906054859574833,-1.4503043937373095,-0.7332308393500423,1st,1st,1st,-1.217328000755635,-1.2252449397856893,-1.2514744014158337
sub-01,0.0,0.7239706,f,0.38979096919176,-1.058416385710907,-0.6262134255117462,3rd,1st,2nd,0.2841648903710896,-1.2252449397856893,-0.35416151287153147
sub-01,0.0,0.5183765,f,-0.6862576365675052,-0.5272381598115835,-0.6978534756830159,1st,2nd,1st,-1.217328000755635,-0.31505262770891257,-1.2514744014158337
sub-01,0.0,0.5973658,f,-1.5504609259563322,-0.22130088548134041,-0.6978334256064586,1st,2nd,1st,-1.217328000755635,-0.31505262770891257,-1.2514744014158337
sub-01,0.0,0.5260495,a,-0.6802489442229523,0.6706936467373475,-0.5750188076235881,1st,4th,2nd,-1.217328000755635,1.224268426534567,-0.35416151287153147
sub-01,1.0,0.3530519,a,-2.6390674895736677,0.0407175178738058,-0.5965285020688705,1st,3rd,2nd,-1.217328000755635,0.3160291409600362,-0.35416151287153147
sub-01,0.0,0.5883847,a,-0.7849623287969716,-0.41667341252042966,-0.7205534566310958,1st,2nd,1st,-1.217328000755635,-0.31505262770891257,-1.2514744014158337
sub-01,0.0,0.5934242,f,-1.0889563537771758,0.598022636141997,-0.6746518733925129,1st,3rd,2nd,-1.217328000755635,0.3160291409600362,-0.35416151287153147
sub-01,1.0,0.5318373,f,-4.184852371341994,0.5875459934424084,-0.8287406937721092,1st,3rd,1st,-1.217328000755635,0.3160291409600362,-1.2514744014158337
sub-01,1.0,0.6524479,f,-0.6232509282346923,-1.062945358108855,-1.094585071871226,1st,1st,1st,-1.217328000755635,-1.2252449397856893,-1.2514744014158337
sub-01,0.0,0.6598159,a,-0.5176418378959876,-0.3105225352100032,-0.9645331439298857,1st,2nd,1st,-1.217328000755635,-0.31505262770891257,-1.2514744014158337
sub-01,0.0,0.5626604,a,-0.05915281066158113,-0.49448912308571147,-1.1106636433069446,2nd,2nd,1st,-0.22437542619312592,-0.31505262770891257,-1.2514744014158337
sub-01,0.0,0.3992764,a,0.8556764477716265,0.1540091870659362,-1.321003242556928,4th,3rd,1st,1.1575385365776718,0.3160291409600362,-1.2514744014158337
sub-01,1.0,0.3963036,f,0.9361816243476851,0.5034141797240178,-1.3871656520997437,4th,3rd,1st,1.1575385365776718,0.3160291409600362,-1.2514744014158337
sub-01,0.0,0.3729899,a,-1.8388211321109962,-0.6584705472632455,-1.331067192133342,1st,1st,1st,-1.217328000755635,-1.2252449397856893,-1.2514744014158337
sub-01,0.0,0.4266538,a,0.20385361345611108,-1.0905562052975861,-1.3202742121261002,3rd,1st,1st,0.2841648903710896,-1.2252449397856893,-1.2514744014158337
sub-01,1.0,0.5836867,f,-0.650366654980315,0.07626726140561015,-1.3023771053111002,1st,3rd,1st,-1.217328000755635,0.3160291409600362,-1.2514744014158337
